CPA 2008,CPC v2
01.11.11,1111
01.11.11,1112
01.11.12,1111
01.11.12,1112
01.11.20,1121
01.11.20,1122
01.11.31,1151
01.11.31,1152
01.11.32,1161
01.11.32,1162
01.11.33,1171
01.11.33,1172
01.11.41,1141
01.11.41,1142
01.11.42,1181
01.11.42,1182
01.11.49,1190
01.11.50,1913
01.11.61,1241
01.11.62,1242
01.11.69,1249
01.11.71,1701
01.11.72,1702
01.11.73,1703
01.11.74,1704
01.11.75,1705
01.11.79,1709
01.11.81,1411
01.11.81,1412
01.11.82,1421
01.11.82,1422
01.11.83,21421
01.11.84,1431
01.11.84,1432
01.11.91,1441
01.11.92,1442
01.11.93,1443
01.11.94,1444
01.11.95,1445
01.11.99,1446
01.11.99,1449
01.12.10,1131
01.12.10,1132
01.13.11,1211
01.13.12,1212
01.13.13,1213
01.13.14,1214
01.13.15,1214
01.13.16,1215
01.13.17,1216
01.13.19,1219
01.13.21,1221
01.13.29,1229
01.13.31,1231
01.13.32,1232
01.13.33,1233
01.13.34,1234
01.13.39,1235
01.13.39,1239
01.13.41,1251
01.13.42,1252
01.13.43,1253
01.13.44,1254
01.13.49,1259
01.13.51,1510
01.13.52,1591
01.13.53,1592
01.13.59,1593
01.13.59,1599
01.13.60,1260
01.13.71,1801
01.13.72,1803
01.13.80,1270
01.13.90,1290
01.14.10,1802
01.14.10,1809
01.15.10,1970
01.15.10,25010
01.16.11,1921
01.16.12,1922
01.16.19,1929
01.19.10,1911
01.19.10,1912
01.19.10,1919
01.19.21,1962
01.19.22,1963
01.19.31,1940
01.19.39,1990
01.21.11,1330
01.21.12,1330
01.22.11,1311
01.22.12,1312
01.22.12,1313
01.22.13,1314
01.22.14,1315
01.22.19,1316
01.22.19,1317
01.22.19,1318
01.22.19,1319
01.23.11,1321
01.23.12,1322
01.23.13,1323
01.23.14,1324
01.23.19,1329
01.24.10,1351
01.24.21,1352
01.24.22,1352
01.24.23,1353
01.24.24,1354
01.24.25,1355
01.24.26,1355
01.24.27,1356
01.24.28,1356
01.24.29,1359
01.25.11,1342
01.25.12,1343
01.25.13,1344
01.25.19,1341
01.25.19,1349
01.25.20,1360
01.25.31,1371
01.25.31,21422
01.25.32,1373
01.25.32,21429
01.25.33,1374
01.25.33,21423
01.25.34,1375
01.25.34,21429
01.25.35,1376
01.25.35,21429
01.25.39,1372
01.25.39,1377
01.25.39,1379
01.25.39,21424
01.25.39,21429
01.25.90,1399
01.25.90,1391
01.26.11,1450
01.26.12,1450
01.26.20,1460
01.26.20,21429
01.26.90,1491
01.26.90,1499
01.27.11,1610
01.27.12,1620
01.27.13,1630
01.27.14,1640
01.28.11,1651
01.28.12,1652
01.28.13,1653
01.28.14,1654
01.28.15,1655
01.28.16,1656
01.28.17,1657
01.28.18,1658
01.28.19,1690
01.28.20,1659
01.28.30,1930
01.29.10,1950
01.29.20,3241
01.29.30,3250
01.30.10,1961
01.41.10,2111
01.41.10,2112
01.41.20,2211
01.41.20,2212
01.42.11,2111
01.42.11,2112
01.42.12,2111
01.42.12,2112
01.42.20,2411
01.43.10,2130
01.44.10,2121
01.45.11,2122
01.45.12,2123
01.45.21,2291
01.45.22,2292
01.45.30,2941
01.46.10,2140
01.47.11,2151
01.47.12,2152
01.47.13,2153
01.47.14,2155
01.47.14,2154
01.47.21,2310
01.47.22,2320
01.47.23,2330
01.49.11,2191
01.49.12,2194
01.49.12,2193
01.49.13,2195
01.49.19,2192
01.49.19,2196
01.49.19,2199
01.49.19,2129
01.49.21,2910
01.49.22,2293
01.49.22,2299
01.49.23,2920
01.49.24,2930
01.49.25,2944
01.49.26,2960
01.49.27,2420
01.49.27,2419
01.49.28,2943
01.49.31,2955
01.49.32,2955
01.49.39,2959
01.61.10,86119
01.62.10,86121
01.63.10,86111
01.64.10,86112
01.70.10,86130
02.10.11,1961
02.10.12,1360
02.10.20,86140
02.20.11,3110
02.20.12,3120
02.20.13,3120
02.20.14,3130
02.30.11,3211
02.30.12,3219
02.30.20,3220
02.30.30,3249
02.30.40,3230
02.40.10,86140
03.00.11,4111
03.00.12,4119
03.00.13,4119
03.00.14,4119
03.00.15,4119
03.00.21,4120
03.00.22,4120
03.00.23,4120
03.00.24,4120
03.00.31,4210
03.00.32,4210
03.00.41,4220
03.00.42,4291
03.00.42,4299
03.00.43,4220
03.00.44,4291
03.00.44,4299
03.00.51,38210
03.00.52,38210
03.00.61,4910
03.00.62,4920
03.00.63,4930
03.00.64,4930
03.00.71,86150
03.00.72,86150
05.10.10,11010
05.20.10,11030
06.10.10,12010
06.10.20,12030
06.20.10,12020
07.10.10,14100
07.21.10,13000
07.29.11,14210
07.29.12,14220
07.29.13,14230
07.29.14,14240
07.29.15,14290
07.29.19,14290
08.11.11,15120
08.11.12,15130
08.11.20,15200
08.11.30,16330
08.11.40,15110
08.12.11,15310
08.12.12,15320
08.12.13,15320
08.12.21,15400
08.12.22,15400
08.91.11,16110
08.91.12,16120
08.91.19,16190
08.92.10,11050
08.93.10,16200
08.99.10,15330
08.99.21,16310
08.99.22,16320
08.99.29,16390
09.10.11,86211
09.10.12,86211
09.10.13,86211
09.90.11,86219
09.90.19,86219
10.11.11,21112
10.11.11,21111
10.11.12,21113
10.11.13,21115
10.11.14,21116
10.11.15,21118
10.11.20,21156
10.11.20,21155
10.11.20,21153
10.11.20,21152
10.11.20,21151
10.11.31,21132
10.11.31,21131
