exiobase_country_code,bentso_Country_code,Geonames_code
AU,,2077456
AT,AT,2782113
BE,BE,2802361
BR,,3469034
BG,BG,732800
CA,,6251999
CN,,1814991
CY,,146669
CZ,CZ,3077311
DK,DK,2623032
EE,EE,453733
FI,FI,660013
FR,FR,3017382
DE,DE,2921044
GR,GR,390903
HU,HU,719819
HR,HR,3202326
IN,,1269750
ID,,1643084
IE,IE,2963597
IT,IT,3175395
JP,,1861060
LV,LV,458258
LT,LT,597427
LU,LU,2960313
MT,MT,2562770
MX,,3996063
NL,NL,2750405
NO,NO,3144096
PL,PL,798544
PT,PT,2264397
RO,RO,798549
RU,RU,2017370
SK,SK,3057568
SI,SI,3190538
ZA,,953987
KR,,1835841
ES,ES,2510769
SE,SE,2661886
CH,CH,2658434
TW,,1668284
TR,TR,298795
GB,GB,2635167
US,,6252001
WA,,rdf.bonsai.uno/location/exiobase3_3_17/WA
WL,,rdf.bonsai.uno/location/exiobase3_3_17/WL
WE,,rdf.bonsai.uno/location/exiobase3_3_17/WE
WF,,rdf.bonsai.uno/location/exiobase3_3_17/WF
WM,,rdf.bonsai.uno/location/exiobase3_3_17/WM
