hsut product name,predicate,hiot product name
Paddy rice,OWL.SameAs,Paddy rice
Wheat,OWL.SameAs,Wheat
Cereal grains nec,OWL.SameAs,Cereal grains nec
Vegetables; fruit; nuts,OWL.SameAs,"Vegetables, fruit, nuts"
Oil seeds,OWL.SameAs,Oil seeds
Sugar cane; sugar beet,OWL.SameAs,"Sugar cane, sugar beet"
Plant-based fibers,OWL.SameAs,Plant-based fibers
Crops nec,OWL.SameAs,Crops nec
Cattle,OWL.SameAs,Cattle
Pigs,OWL.SameAs,Pigs
Poultry,OWL.SameAs,Poultry
Meat animals nec,OWL.SameAs,Meat animals nec
Animal products nec,OWL.SameAs,Animal products nec
Raw milk,OWL.SameAs,Raw milk
Wool; silk-worm cocoons,OWL.SameAs,"Wool, silk-worm cocoons"
Manure (conventional treatment),OWL.SameAs,Manure (conventional treatment)
Manure (biogas treatment),OWL.SameAs,Manure (biogas treatment)
Products of forestry; logging and related services (02),OWL.SameAs,"Products of forestry, logging and related services (02)"
Fish and other fishing products; services incidental of fishing (05),OWL.SameAs,Fish and other fishing products; services incidental of fishing (05)
Anthracite,rdfs:subClassOf,"Coal, lignite and peat"
Coking Coal,rdfs:subClassOf,"Coal, lignite and peat"
Other Bituminous Coal,rdfs:subClassOf,"Coal, lignite and peat"
Sub-Bituminous Coal,rdfs:subClassOf,"Coal, lignite and peat"
Patent Fuel,rdfs:subClassOf,"Coal, lignite and peat"
Lignite/Brown Coal,rdfs:subClassOf,"Coal, lignite and peat"
BKB/Peat Briquettes,rdfs:subClassOf,"Coal, lignite and peat"
Peat,rdfs:subClassOf,"Coal, lignite and peat"
Crude petroleum and services related to crude oil extraction; excluding surveying,OWL.SameAs,"Crude petroleum and services related to crude oil extraction, excluding surveying"
Natural gas and services related to natural gas extraction; excluding surveying,rdfs:subClassOf,"Natural gas and services related to natural gas extraction, excluding surveying; inclulding liquid gas"
Natural Gas Liquids,rdfs:subClassOf,"Natural gas and services related to natural gas extraction, excluding surveying; inclulding liquid gas"
Other Hydrocarbons,OWL.SameAs,Other Hydrocarbons
Uranium and thorium ores (12),OWL.SameAs,Uranium and thorium ores (12)
Iron ores,OWL.SameAs,Iron ores
Copper ores and concentrates,OWL.SameAs,Copper ores and concentrates
Nickel ores and concentrates,OWL.SameAs,Nickel ores and concentrates
Aluminium ores and concentrates,OWL.SameAs,Aluminium ores and concentrates
Precious metal ores and concentrates,OWL.SameAs,Precious metal ores and concentrates
Lead; zinc and tin ores and concentrates,OWL.SameAs,"Lead, zinc and tin ores and concentrates"
Other non-ferrous metal ores and concentrates,OWL.SameAs,Other non-ferrous metal ores and concentrates
Stone,OWL.SameAs,Stone
Sand and clay,OWL.SameAs,Sand and clay
Chemical and fertilizer minerals; salt and other mining and quarrying products n.e.c.,OWL.SameAs,"Chemical and fertilizer minerals, salt and other mining and quarrying products n.e.c."
Products of meat cattle,OWL.SameAs,Products of meat cattle
Products of meat pigs,OWL.SameAs,Products of meat pigs
Products of meat poultry,OWL.SameAs,Products of meat poultry
Meat products nec,OWL.SameAs,Meat products nec
products of Vegetable oils and fats,OWL.SameAs,products of Vegetable oils and fats
Dairy products,OWL.SameAs,Dairy products
Processed rice,OWL.SameAs,Processed rice
Sugar,OWL.SameAs,Sugar
Food products nec,OWL.SameAs,Food products nec
Beverages,OWL.SameAs,Beverages
Fish products,OWL.SameAs,Fish products
Tobacco products (16),OWL.SameAs,Tobacco products (16)
Textiles (17),OWL.SameAs,Textiles (17)
Wearing apparel; furs (18),OWL.SameAs,Wearing apparel; furs (18)
Leather and leather products (19),OWL.SameAs,Leather and leather products (19)
Wood and products of wood and cork (except furniture); articles of straw and plaiting materials (20),OWL.SameAs,Wood and products of wood and cork (except furniture); articles of straw and plaiting materials (20)
Wood material for treatment; Re-processing of secondary wood material into new wood material,OWL.SameAs,"Wood material for treatment, Re-processing of secondary wood material into new wood material"
