EXIOBASE 3;;;;US EPA;;;;;;;;;;;;;;;;;;;;;;;
Emission name;Unit ;Compartment;;Flowable;CAS No;Formula;Synonyms;Flow quality;Unit;Directionality;Compartment;External reference;Preferred;Class;Flow UUID;Compartment UUID;Unit UUID;Quality UUID;;;;;;;;;
Carbon dioxide, fossil;tonnes;air;;Carbon dioxide;124-38-9;CO2;;Mass;kg;emission;air;https://ofmpub.epa.gov/sor_internet/registry/substreg/searchandretrieve/substancesearch/search.do?details=displayDetails&selectedSubstanceId=46795;1;Chemicals;1c9c1507-efca-3167-b445-13385b94ee8c;4061cba4-cb52-3ef2-85a6-55942ed24d37;20aadc24-a391-41cf-b340-3e4529f44bde;93a60a56-a3c8-11da-a746-0800200b9a66;;;;;;;;;
N2O;tonnes;air;;Nitrous oxide;10024-97-2;N2O;;Mass;kg;emission;air;https://ofmpub.epa.gov/sor_internet/registry/substreg/searchandretrieve/substancesearch/search.do?details=displayDetails&selectedSubstanceId=94780;1;Chemicals;ddaaa5df-5157-32bf-9a0b-31d91dfab72e;4061cba4-cb52-3ef2-85a6-55942ed24d37;20aadc24-a391-41cf-b340-3e4529f44bde;93a60a56-a3c8-11da-a746-0800200b9a66;;;;;;;;;
CH4;tonnes;air;;Methane;74-82-8;CH4;;Mass;kg;emission;air;https://ofmpub.epa.gov/sor_internet/registry/substreg/searchandretrieve/substancesearch/search.do?details=displayDetails&selectedSubstanceId=48548;1;Chemicals;94ff0cd6-eca0-31d4-b212-8a5d2faf7f03;4061cba4-cb52-3ef2-85a6-55942ed24d37;20aadc24-a391-41cf-b340-3e4529f44bde;93a60a56-a3c8-11da-a746-0800200b9a66;;;;;;;;;
HFCs;tonnes;air;;HFC-134a;811-97-2;C2H2F4;;Mass;kg;emission;air;https://ofmpub.epa.gov/sor_internet/registry/substreg/searchandretrieve/substancesearch/search.do?details=displayDetails&selectedSubstanceId=44103;1;Chemicals;a138ab72-d280-3ac9-bbee-20ff97ed91c2;4061cba4-cb52-3ef2-85a6-55942ed24d37;20aadc24-a391-41cf-b340-3e4529f44bde;93a60a56-a3c8-11da-a746-0800200b9a66;;;;;;;;;
HFCs;tonnes;air;;HFC-125;354-33-6;C2HF5;;Mass;kg;emission;air;https://ofmpub.epa.gov/sor_internet/registry/substreg/searchandretrieve/substancesearch/search.do?details=displayDetails&selectedSubstanceId=46467;1;Chemicals;5d4d8b9f-8463-3337-8475-7388103c0093;4061cba4-cb52-3ef2-85a6-55942ed24d37;20aadc24-a391-41cf-b340-3e4529f44bde;93a60a56-a3c8-11da-a746-0800200b9a66;;;;;;;;;
HFCs;tonnes;air;;HFC-143a;420-46-2;C2H3F3;;Mass;kg;emission;air;https://ofmpub.epa.gov/sor_internet/registry/substreg/searchandretrieve/substancesearch/search.do?details=displayDetails&selectedSubstanceId=45982;1;Chemicals;5910b2b3-c475-3233-a427-84ac99fcd08f;4061cba4-cb52-3ef2-85a6-55942ed24d37;20aadc24-a391-41cf-b340-3e4529f44bde;93a60a56-a3c8-11da-a746-0800200b9a66;;;;;;;;;
HFCs;tonnes;air;;HFC-32;75-10-5;CH2F2;;Mass;kg;emission;air;https://ofmpub.epa.gov/sor_internet/registry/substreg/searchandretrieve/substancesearch/search.do?details=displayDetails&selectedSubstanceId=87907;1;Chemicals;114bf620-a4f2-3ea4-89ef-27cb711b7967;4061cba4-cb52-3ef2-85a6-55942ed24d37;20aadc24-a391-41cf-b340-3e4529f44bde;93a60a56-a3c8-11da-a746-0800200b9a66;;;;;;;;;
HFCs;tonnes;air;;HFC-152a;75-37-6;C2H4F2;;Mass;kg;emission;air;https://ofmpub.epa.gov/sor_internet/registry/substreg/searchandretrieve/substancesearch/search.do?details=displayDetails&selectedSubstanceId=48930;1;Chemicals;fd8c0b13-2f11-30b9-b267-23399b8ddf11;4061cba4-cb52-3ef2-85a6-55942ed24d37;20aadc24-a391-41cf-b340-3e4529f44bde;93a60a56-a3c8-11da-a746-0800200b9a66;;;;;;;;;
HFCs;tonnes;air;;HFC-4310mee;138495-42-8;C5H2F10;;Mass;kg;emission;air;https://ofmpub.epa.gov/sor_internet/registry/substreg/searchandretrieve/substancesearch/search.do?details=displayDetails&selectedSubstanceId=85287;1;Chemicals;89fe0fa2-aeb3-369f-b1e6-c3a2c4b53bf7;4061cba4-cb52-3ef2-85a6-55942ed24d37;20aadc24-a391-41cf-b340-3e4529f44bde;93a60a56-a3c8-11da-a746-0800200b9a66;;;;;;;;;
HFCs;tonnes;air;;HFC-1234ze(E);1645-83-6;-;;Mass;kg;emission;air;https://ofmpub.epa.gov/sor_internet/registry/substreg/searchandretrieve/substancesearch/search.do?details=displayDetails&selectedSubstanceId=125353;1;Chemicals;ca7d554c-2e35-3960-868b-c5c49804a058;4061cba4-cb52-3ef2-85a6-55942ed24d37;20aadc24-a391-41cf-b340-3e4529f44bde;93a60a56-a3c8-11da-a746-0800200b9a66;;;;;;;;;
HFCs;tonnes;air;;HFC-161;353-36-6;C2H5F;;Mass;kg;emission;air;https://ofmpub.epa.gov/sor_internet/registry/substreg/searchandretrieve/substancesearch/search.do?details=displayDetails&selectedSubstanceId=92345;1;Chemicals;412417be-9ba4-34cd-9b07-3def566e5a25;4061cba4-cb52-3ef2-85a6-55942ed24d37;20aadc24-a391-41cf-b340-3e4529f44bde;93a60a56-a3c8-11da-a746-0800200b9a66;;;;;;;;;
HFCs;tonnes;air;;HFC-134;359-35-3;C2H2F4;;Mass;kg;emission;air;https://ofmpub.epa.gov/sor_internet/registry/substreg/searchandretrieve/substancesearch/search.do?details=displayDetails&selectedSubstanceId=46441;1;Chemicals;2efbf584-415c-3ef0-bcbc-0cb6b1d64d75;4061cba4-cb52-3ef2-85a6-55942ed24d37;20aadc24-a391-41cf-b340-3e4529f44bde;93a60a56-a3c8-11da-a746-0800200b9a66;;;;;;;;;
HFCs;tonnes;air;;HFC-365mfc;406-58-6;C4H5F5;;Mass;kg;emission;air;https://ofmpub.epa.gov/sor_internet/registry/substreg/searchandretrieve/substancesearch/search.do?details=displayDetails&selectedSubstanceId=82854;1;Chemicals;199d1914-11f1-3168-a506-284f20d39eb9;4061cba4-cb52-3ef2-85a6-55942ed24d37;20aadc24-a391-41cf-b340-3e4529f44bde;93a60a56-a3c8-11da-a746-0800200b9a66;;;;;;;;;
HFCs;tonnes;air;;HFC-143;430-66-0;C2H3F3;;Mass;kg;emission;air;https://ofmpub.epa.gov/sor_internet/registry/substreg/searchandretrieve/substancesearch/search.do?details=displayDetails&selectedSubstanceId=82196;1;Chemicals;0dd87a3e-836c-36c2-8885-5343e8d1e682;4061cba4-cb52-3ef2-85a6-55942ed24d37;20aadc24-a391-41cf-b340-3e4529f44bde;93a60a56-a3c8-11da-a746-0800200b9a66;;;;;;;;;
