Exiobase v3 HSUTs,,,Exiobase v3 HIOT,,
Product name,Product code 1,product code 2,Product name,Product code 1,Product code 2
Paddy rice,p01.a,C_PARI,Paddy rice,p01.a,C_PARI
Wheat,p01.b,C_WHEA,Wheat,p01.b,C_WHEA
Cereal grains nec,p01.c,C_OCER,Cereal grains nec,p01.c,C_OCER
Vegetables; fruit; nuts,p01.d,C_FVEG,"Vegetables, fruit, nuts",p01.d,C_FVEG
Oil seeds,p01.e,C_OILS,Oil seeds,p01.e,C_OILS
Sugar cane; sugar beet,p01.f,C_SUGB,"Sugar cane, sugar beet",p01.f,C_SUGB
Plant-based fibers,p01.g,C_FIBR,Plant-based fibers,p01.g,C_FIBR
Crops nec,p01.h,C_OTCR,Crops nec,p01.h,C_OTCR
Cattle,p01.i,C_CATL,Cattle,p01.i,C_CATL
Pigs,p01.j,C_PIGS,Pigs,p01.j,C_PIGS
Poultry,p01.k,C_PLTR,Poultry,p01.k,C_PLTR
Meat animals nec,p01.l,C_OMEA,Meat animals nec,p01.l,C_OMEA
Animal products nec,p01.m,C_OANP,Animal products nec,p01.m,C_OANP
Raw milk,p01.n,C_MILK,Raw milk,p01.n,C_MILK
Wool; silk-worm cocoons,p01.o,C_WOOL,"Wool, silk-worm cocoons",p01.o,C_WOOL
Manure (conventional treatment),p01.w.1,C_MANC,Manure (conventional treatment),p01.w.1,C_MANC
Manure (biogas treatment),p01.w.2,C_MANB,Manure (biogas treatment),p01.w.2,C_MANB
Products of forestry; logging and related services (02),p02,C_FORE,"Products of forestry, logging and related services (02)",p02,C_FORE
Fish and other fishing products; services incidental of fishing (05),p05,C_FISH,Fish and other fishing products; services incidental of fishing (05),p05,C_FISH
Anthracite,p10.a,C_ANTH,"Coal, lignite and peat",p10,C_CLPT
Coking Coal,p10.b,C_COKC,"Coal, lignite and peat",p10,C_CLPT
Other Bituminous Coal,p10.c,C_OTBC,"Coal, lignite and peat",p10,C_CLPT
Sub-Bituminous Coal,p10.d,C_SUBC,"Coal, lignite and peat",p10,C_CLPT
Patent Fuel,p10.e,C_PATF,"Coal, lignite and peat",p10,C_CLPT
Lignite/Brown Coal,p10.f,C_LIBC,"Coal, lignite and peat",p10,C_CLPT
BKB/Peat Briquettes,p10.g,C_BKBP,"Coal, lignite and peat",p10,C_CLPT
Peat,p10.h,C_PEAT,"Coal, lignite and peat",p10,C_CLPT
Crude petroleum and services related to crude oil extraction; excluding surveying,p11.a,C_COIL,"Crude petroleum and services related to crude oil extraction, excluding surveying",p11.a,C_COIL
Natural gas and services related to natural gas extraction; excluding surveying,p11.b,C_GASE,"Natural gas and services related to natural gas extraction, excluding surveying; inclulding liquid gas",p11.2,C_GASS
Natural Gas Liquids,p11.b.1,C_GASL,"Natural gas and services related to natural gas extraction, excluding surveying; inclulding liquid gas",p11.2,C_GASS
Other Hydrocarbons,p11.c,C_OGPL,Other Hydrocarbons,p11.c,C_OGPL
Uranium and thorium ores (12),p12,C_ORAN,Uranium and thorium ores (12),p12,C_ORAN
Iron ores,p13.1,C_IRON,Iron ores,p13.1,C_IRON
Copper ores and concentrates,p13.20.11,C_COPO,Copper ores and concentrates,p13.20.11,C_COPO
Nickel ores and concentrates,p13.20.12,C_NIKO,Nickel ores and concentrates,p13.20.12,C_NIKO
Aluminium ores and concentrates,p13.20.13,C_ALUO,Aluminium ores and concentrates,p13.20.13,C_ALUO
Precious metal ores and concentrates,p13.20.14,C_PREO,Precious metal ores and concentrates,p13.20.14,C_PREO
Lead; zinc and tin ores and concentrates,p13.20.15,C_LZTO,"Lead, zinc and tin ores and concentrates",p13.20.15,C_LZTO
Other non-ferrous metal ores and concentrates,p13.20.16,C_ONFO,Other non-ferrous metal ores and concentrates,p13.20.16,C_ONFO
Stone,p14.1,C_STON,Stone,p14.1,C_STON
Sand and clay,p14.2,C_SDCL,Sand and clay,p14.2,C_SDCL
Chemical and fertilizer minerals; salt and other mining and quarrying products n.e.c.,p14.3,C_CHMF,"Chemical and fertilizer minerals, salt and other mining and quarrying products n.e.c.",p14.3,C_CHMF
Products of meat cattle,p15.a,C_PCAT,Products of meat cattle,p15.a,C_PCAT
Products of meat pigs,p15.b,C_PPIG,Products of meat pigs,p15.b,C_PPIG
Products of meat poultry,p15.c,C_PPLT,Products of meat poultry,p15.c,C_PPLT
Meat products nec,p15.d,C_POME,Meat products nec,p15.d,C_POME
products of Vegetable oils and fats,p15.e,C_VOIL,products of Vegetable oils and fats,p15.e,C_VOIL
Dairy products,p15.f,C_DAIR,Dairy products,p15.f,C_DAIR
Processed rice,p15.g,C_RICE,Processed rice,p15.g,C_RICE
Sugar,p15.h,C_SUGR,Sugar,p15.h,C_SUGR
Food products nec,p15.i,C_OFOD,Food products nec,p15.i,C_OFOD
Beverages,p15.j,C_BEVR,Beverages,p15.j,C_BEVR
Fish products,p15.k,C_FSHP,Fish products,p15.k,C_FSHP
Tobacco products (16),p16,C_TOBC,Tobacco products (16),p16,C_TOBC
Textiles (17),p17,C_TEXT,Textiles (17),p17,C_TEXT
Wearing apparel; furs (18),p18,C_GARM,Wearing apparel; furs (18),p18,C_GARM
Leather and leather products (19),p19,C_LETH,Leather and leather products (19),p19,C_LETH
Wood and products of wood and cork (except furniture); articles of straw and plaiting materials (20),p20,C_WOOD,Wood and products of wood and cork (except furniture); articles of straw and plaiting materials (20),p20,C_WOOD
Wood material for treatment; Re-processing of secondary wood material into new wood material,p20.w,C_WOOW,"Wood material for treatment, Re-processing of secondary wood material into new wood material",p20.w,C_WOOW
Pulp,p21.1,C_PULP,Pulp,p21.1,C_PULP
Secondary paper for treatment; Re-processing of secondary paper into new pulp,p21.w.1,C_PAPR,"Secondary paper for treatment, Re-processing of secondary paper into new pulp",p21.w.1,C_PAPR
Paper and paper products,p21.2,C_PAPE,Paper and paper products,p21.2,C_PAPE
Printed matter and recorded media (22),p22,C_MDIA,Printed matter and recorded media (22),p22,C_MDIA
Coke Oven Coke,p23.1.a,C_COKE,Coke oven products,p23.1,C_COPR
Gas Coke,p23.1.b,C_GCOK,Coke oven products,p23.1,C_COPR
