HS 2012,SITC Rev. 4,Relationship
101.21,1.5,n:1
101.29,1.5,n:1
101.3,1.5,n:1
101.9,1.5,n:1
102.21,1.11,n:n
102.29,1.19,n:n
102.31,1.11,n:n
102.39,1.19,n:n
102.9,1.11,n:n
102.9,1.19,n:n
103.1,1.31,1:1
103.91,1.39,n:1
103.92,1.39,n:1
104.1,1.21,1:1
104.2,1.22,1:1
105.11,1.41,n:1
105.12,1.41,n:1
105.13,1.41,n:1
105.14,1.41,n:1
105.15,1.41,n:1
105.94,1.49,n:1
105.99,1.49,n:1
106.11,1.9,n:1
106.12,1.9,n:1
106.13,1.9,n:1
106.14,1.9,n:1
106.19,1.9,n:1
106.2,1.9,n:1
106.31,1.9,n:1
106.32,1.9,n:1
106.33,1.9,n:1
106.39,1.9,n:1
106.41,1.9,n:1
106.49,1.9,n:1
106.9,1.9,n:1
201.1,11.11,n:1
201.2,11.11,n:1
201.3,11.12,1:1
202.1,11.21,n:1
202.2,11.21,n:1
202.3,11.22,1:1
203.11,12.21,n:1
203.12,12.21,n:1
203.19,12.21,n:1
203.21,12.22,n:1
203.22,12.22,n:1
203.29,12.22,n:1
204.1,12.11,n:1
204.21,12.11,n:1
204.22,12.11,n:1
204.23,12.11,n:1
204.3,12.12,n:1
204.41,12.12,n:1
204.42,12.12,n:1
204.43,12.12,n:1
204.5,12.13,1:1
205,12.4,1:1
206.1,12.51,1:1
206.21,12.52,n:1
206.22,12.52,n:1
206.29,12.52,n:1
206.3,12.53,1:1
206.41,12.54,n:1
206.49,12.54,n:1
206.8,12.55,1:1
206.9,12.56,1:1
207.11,12.31,n:n
207.12,12.32,n:n
207.13,12.34,n:n
207.14,12.35,n:n
207.24,12.31,n:n
207.25,12.32,n:n
207.26,12.34,n:n
207.27,12.35,n:n
207.41,12.31,n:n
207.42,12.32,n:n
207.43,12.33,n:1
207.44,12.34,n:n
207.45,12.35,n:n
207.51,12.31,n:n
207.52,12.32,n:n
207.53,12.33,n:1
207.54,12.34,n:n
207.55,12.35,n:n
207.6,12.31,n:n
207.6,12.32,n:n
207.6,12.34,n:n
207.6,12.35,n:n
208.1,12.91,1:1
208.3,12.99,n:1
208.4,12.99,n:1
208.5,12.99,n:1
208.6,12.99,n:1
208.9,12.99,n:1
209.1,411.31,n:1
209.9,411.31,n:1
210.11,16.11,1:1
210.12,16.12,1:1
210.19,16.19,1:1
210.2,16.81,1:1
210.91,16.89,n:1
210.92,16.89,n:1
210.93,16.89,n:1
210.99,16.89,n:1
301.11,34.11,n:1
301.19,34.11,n:1
301.91,34.11,n:1
301.92,34.11,n:1
301.93,34.11,n:1
301.94,34.11,n:1
301.95,34.11,n:1
301.99,34.11,n:1
302.11,34.12,n:1
302.13,34.12,n:1
302.14,34.12,n:1
302.19,34.12,n:1
302.21,34.13,n:1
302.22,34.13,n:1
302.23,34.13,n:1
302.24,34.13,n:1
302.29,34.13,n:1
302.31,34.14,n:1
302.32,34.14,n:1
302.33,34.14,n:1
302.34,34.14,n:1
302.35,34.14,n:1
302.36,34.14,n:1
302.39,34.14,n:1
302.41,34.15,n:1
302.42,34.18,n:1
302.43,34.15,n:1
302.44,34.17,1:1
302.45,34.18,n:1
302.46,34.18,n:1
302.47,34.18,n:1
302.51,34.16,1:1
302.52,34.18,n:1
302.53,34.18,n:1
302.54,34.18,n:1
302.55,34.18,n:1
302.56,34.18,n:1
302.59,34.18,n:1
302.71,34.18,n:1
302.72,34.18,n:1
302.73,34.18,n:1
302.74,34.18,n:1
302.79,34.18,n:1
302.81,34.18,n:1
302.82,34.18,n:1
302.83,34.18,n:1
302.84,34.18,n:1
302.85,34.18,n:1
302.89,34.18,n:1
302.9,34.19,1:1
303.11,34.21,n:1
303.12,34.21,n:1
303.13,34.21,n:1
303.14,34.21,n:1
303.19,34.21,n:1
303.23,34.28,n:1
303.24,34.28,n:1
303.25,34.28,n:1
303.26,34.28,n:1
303.29,34.28,n:1
303.31,34.22,n:1
303.32,34.22,n:1
303.33,34.22,n:1
303.34,34.22,n:1
303.39,34.22,n:1
303.41,34.23,n:1
303.42,34.23,n:1
303.43,34.23,n:1
303.44,34.23,n:1
303.45,34.23,n:1
303.46,34.23,n:1
303.49,34.23,n:1
303.51,34.24,n:1
303.53,34.24,n:1
303.54,34.26,1:1
303.55,34.28,n:1
303.56,34.28,n:1
303.57,34.28,n:1
303.63,34.25,1:1
303.64,34.28,n:1
303.65,34.28,n:1
303.66,34.27,1:1
303.67,34.28,n:1
303.68,34.28,n:1
303.69,34.28,n:1
303.81,34.28,n:1
303.82,34.28,n:1
303.83,34.28,n:1
303.84,34.28,n:1
303.89,34.28,n:1
303.9,34.29,1:1
304.31,34.51,n:1
304.32,34.51,n:1
304.33,34.51,n:1
304.39,34.51,n:1
304.41,34.51,n:1
