ISIC4code,ISIC4part,NACE2code,NACE2part
A,0,A,0
1,0,1,0
11,0,1.1,0
111,0,1.11,0
112,0,1.12,0
113,0,1.13,0
114,0,1.14,0
115,0,1.15,0
116,0,1.16,0
119,0,1.19,0
12,0,1.2,0
121,0,1.21,0
122,0,1.22,0
123,0,1.23,0
124,0,1.24,0
125,0,1.25,0
126,0,1.26,0
127,0,1.27,0
128,0,1.28,0
129,0,1.29,0
13,0,1.3,0
130,0,1.3,0
14,0,1.4,0
141,1,1.41,0
141,1,1.42,0
142,0,1.43,0
143,0,1.44,0
144,0,1.45,0
145,0,1.46,0
146,0,1.47,0
149,0,1.49,0
15,0,1.5,0
150,0,1.5,0
16,0,1.6,0
161,0,1.61,0
162,0,1.62,0
163,0,1.63,0
164,0,1.64,0
17,0,1.7,0
170,0,1.7,0
2,0,2,0
21,0,2.1,0
210,0,2.1,0
22,0,2.2,0
220,0,2.2,0
23,0,2.3,0
230,0,2.3,0
24,0,2.4,0
240,0,2.4,0
3,0,3,0
31,0,3.1,0
311,0,3.11,0
312,0,3.12,0
32,0,3.2,0
321,0,3.21,0
322,0,3.22,0
B,0,B,0
5,0,5,0
51,0,5.1,0
510,0,5.1,0
52,0,5.2,0
520,0,5.2,0
6,0,6,0
61,0,6.1,0
610,0,6.1,0
62,0,6.2,0
620,0,6.2,0
7,0,7,0
71,0,7.1,0
710,0,7.1,0
72,0,7.2,0
721,0,7.21,0
729,0,7.29,0
8,0,8,0
81,0,8.1,0
810,1,8.11,0
810,1,8.12,0
89,0,8.9,0
891,0,8.91,0
892,0,8.92,0
893,0,8.93,0
899,0,8.99,0
9,0,9,0
91,0,9.1,0
910,0,9.1,0
99,0,9.9,0
990,0,9.9,0
C,0,C,0
10,0,10,0
101,0,10.1,0
1010,1,10.11,0
1010,1,10.12,0
1010,1,10.13,0
102,0,10.2,0
1020,0,10.2,0
103,0,10.3,0
1030,1,10.31,0
1030,1,10.32,0
1030,1,10.39,0
104,0,10.4,0
1040,1,10.41,0
1040,1,10.42,0
105,0,10.5,0
1050,1,10.51,0
1050,1,10.52,0
106,0,10.6,0
1061,0,10.61,0
1062,0,10.62,0
107,1,10.7,0
1071,1,10.71,0
1071,1,10.72,0
1074,0,10.73,0
107,1,10.8,0
1072,0,10.81,0
1073,0,10.82,0
1079,1,10.83,0
1079,1,10.84,0
1075,0,10.85,0
1079,1,10.86,0
1079,1,10.89,0
108,0,10.9,0
1080,1,10.91,0
1080,1,10.92,0
11,0,11,0
110,0,11,0
1101,0,11.01,0
1102,1,11.02,0
1102,1,11.03,0
1102,1,11.04,0
1103,1,11.05,0
1103,1,11.06,0
1104,0,11.07,0
12,0,12,0
120,0,12,0
1200,0,12,0
13,0,13,0
131,1,13.1,0
1311,0,13.1,0
131,1,13.2,0
1312,0,13.2,0
131,1,13.3,0
1313,0,13.3,0
139,0,13.9,0
1391,0,13.91,0
1392,0,13.92,0
1393,0,13.93,0
1394,0,13.94,0
1399,1,13.95,0
1399,1,13.96,0
1399,1,13.99,0
14,0,14,0
141,0,14.1,0
1410,1,14.11,0
1410,1,14.12,0
1410,1,14.13,0
1410,1,14.14,0
1410,1,14.19,0
142,0,14.2,0
1420,0,14.2,0
143,0,14.3,0
1430,1,14.31,0
1430,1,14.39,0
15,0,15,0
151,0,15.1,0
1511,0,15.11,0
1512,0,15.12,0
152,0,15.2,0
1520,0,15.2,0
16,0,16,0
161,0,16.1,0
1610,0,16.1,0
162,0,16.2,0
1621,0,16.21,0
1622,1,16.22,0
1622,1,16.23,0
1623,0,16.24,0
1629,0,16.29,0
17,0,17,0
170,1,17.1,0
1701,1,17.11,0
1701,1,17.12,0
170,1,17.2,0
1702,0,17.21,0
1709,1,17.22,0
1709,1,17.23,0
1709,1,17.24,0
1709,1,17.29,0
18,0,18,0
181,0,18.1,0
1811,1,18.11,0
1811,1,18.12,0
1812,1,18.13,0
1812,1,18.14,0
182,0,18.2,0
1820,0,18.2,0
19,0,19,0
191,0,19.1,0
1910,0,19.1,0
192,0,19.2,0
1920,0,19.2,0
20,0,20,0
201,0,20.1,0
2011,1,20.11,0
2011,1,20.12,0
2011,1,20.13,0
2011,1,20.14,0
2012,0,20.15,0
2013,1,20.16,0
2013,1,20.17,0
202,1,20.2,0
2021,0,20.2,0
202,1,20.3,0
2022,0,20.3,0
202,1,20.4,0
2023,1,20.41,0
2023,1,20.42,0
202,1,20.5,0
2029,1,20.51,0
2029,1,20.52,0
2029,1,20.53,0
2029,1,20.59,0
203,0,20.6,0
2030,0,20.6,0
21,0,21,0
210,1,21.1,0
2100,1,21.1,0
210,1,21.2,0
2100,1,21.2,0
22,0,22,0
221,0,22.1,0
2211,0,22.11,0
2219,0,22.19,0
222,0,22.2,0
2220,1,22.21,0
2220,1,22.22,0
2220,1,22.23,0
2220,1,22.29,0
23,0,23,0
231,0,23.1,0
2310,1,23.11,0
2310,1,23.12,0
2310,1,23.13,0
2310,1,23.14,0
2310,1,23.19,0
239,1,23.2,0
2391,0,23.2,0
239,1,23.3,0
2392,1,23.31,0
2392,1,23.32,0
239,1,23.4,0
2393,1,23.41,0
2393,1,23.42,0
2393,1,23.43,0
2393,1,23.44,0
2393,1,23.49,0
239,1,23.5,0
2394,1,23.51,0
2394,1,23.52,0
239,1,23.6,0
2395,1,23.61,0
2395,1,23.62,0
2395,1,23.63,0
2395,1,23.64,0
2395,1,23.65,0
2395,1,23.69,0
239,1,23.7,0
2396,0,23.7,0
239,1,23.9,0
2399,1,23.91,0
2399,1,23.99,0
24,0,24,0
241,1,24.1,0
2410,1,24.1,0
241,1,24.2,0
2410,1,24.2,0
241,1,24.3,0
2410,1,24.31,0
2410,1,24.32,0
