SITC4code,SITC4part,CPC2code,CPC2part
1.11,1,2111,1
1.11,1,2112,1
1.19,1,2111,1
1.19,1,2112,1
1.21,0,2122,0
1.22,0,2123,0
1.31,0,2140,1
1.39,0,2140,1
1.41,1,2151,1
1.41,1,2152,1
1.41,1,2153,1
1.41,1,2154,1
1.41,1,2155,1
1.49,1,2151,1
1.49,1,2152,1
1.49,1,2153,1
1.49,1,2154,1
1.49,1,2155,1
1.5,0,2130,0
1.9,1,2121,0
1.9,1,2129,0
1.9,1,2191,0
1.9,1,2192,0
1.9,1,2193,0
1.9,1,2194,0
1.9,1,2195,0
1.9,1,2196,0
1.9,1,2199,0
11.11,1,21111,1
11.11,1,21112,1
11.12,1,21111,1
11.12,1,21112,1
11.21,1,21131,1
11.21,1,21132,1
11.22,1,21131,1
11.22,1,21132,1
12.11,0,21115,0
12.12,0,21135,0
12.13,1,21116,0
12.13,1,21136,0
12.21,0,21113,0
12.22,0,21133,0
12.31,1,21121,1
12.31,1,21122,1
12.31,1,21123,1
12.31,1,21124,1
12.31,1,21125,1
12.32,1,21141,1
12.32,1,21142,1
12.32,1,21143,1
12.32,1,21144,1
12.32,1,21145,1
12.33,0,21160,1
12.34,1,21121,1
12.34,1,21122,1
12.34,1,21123,1
12.34,1,21124,1
12.34,1,21125,1
12.34,1,21160,1
12.35,1,21141,1
12.35,1,21142,1
12.35,1,21143,1
12.35,1,21144,1
12.35,1,21145,1
12.35,1,21160,1
12.4,1,21118,0
12.4,1,21138,0
12.51,1,21151,1
12.51,1,21152,1
12.52,1,21151,1
12.52,1,21152,1
12.53,0,21153,1
12.54,0,21153,1
12.55,1,21155,1
12.55,1,21156,1
12.55,1,21159,1
12.56,1,21155,1
12.56,1,21156,1
12.56,1,21159,1
12.91,1,21114,0
12.91,1,21134,0
12.91,1,21159,1
12.93,0,2920,0
12.99,1,21117,0
12.99,1,21119,0
12.99,1,21137,0
12.99,1,21139,0
12.99,1,21159,1
12.99,1,21190,0
16.11,0,21171,1
16.12,0,21171,1
16.19,0,21171,1
16.81,0,21172,0
16.89,0,21173,0
17.1,0,21175,0
17.2,1,21174,0
17.2,1,21176,1
17.3,1,21176,1
17.3,1,21179,1
17.4,1,21176,1
