USEPA uuid,"exiobase 3 (flow,context)"
b6f010fb-a764-3063-af2d-bcb8309a97b7,"('Carbon dioxide, biogenic', 'air')"
cfee0524-7ad6-300b-b050-6249135a2492,"('N2O', 'air')"
aab83476-ec6c-3742-af85-15d320b7ce80,"('CH4', 'air')"
93995ef3-e3d2-37a6-a6ab-67636a2f12a3,"('HFCs', 'air')"
8ba25b8c-84d9-3941-ae9c-d540c59cc694,"('PFCs', 'air')"
8334c424-1603-3274-bec1-15a7bd5c8e86,"('SF6', 'air')"
4382ba18-dd21-3837-80b2-94283ef5490e,"('NOX', 'air')"
42e4c3cb-8468-3004-bd4b-19e6cbb81687,"('SOx', 'air')"
65b5d5dd-95b5-36b2-8cb0-7c5501ff1e32,"('NH3', 'air')"
6f861846-1c4c-3fc9-a198-56b2d9abd83b,"('NMVOC', 'air')"
187c525c-3715-388c-b303-a0671524a615,"('CO ', 'air')"
b80498de-0f5e-3d3f-9cbf-396a4952e904,"('CFCs', 'air')"
d6f92419-d242-3d09-adfb-730988250f61,"('CFCs', 'air')"
73a8e096-9a30-38da-9f1a-e47d7cd86630,"('CFCs', 'air')"
a8f7ba7b-e553-332a-b3d3-a71ab00db8e7,"('CFCs', 'air')"
ee83f653-1d80-31a5-a65b-eed2c8205f6c,"('CFCs', 'air')"
aac94f2e-9cae-3b11-b748-57814e196803,"('CFCs', 'air')"
6d60b759-24a4-3f8b-afd4-405935fae61b,"('CFCs', 'air')"
83477f63-15a7-3298-8465-6e3125274f42,"('CFCs', 'air')"
1f20d220-eef7-3b1a-864e-b022556acbc0,"('CFCs', 'air')"
fece15c5-4b3a-34e7-9233-9fa0c5a99f49,"('CFCs', 'air')"
b7b3b712-b4d5-31b8-a6f4-2cc22a4abcd6,"('CFCs', 'air')"
c70f1e1d-017a-3aa4-9614-fa723adbf49d,"('CFCs', 'air')"
0d82436e-601f-3787-be58-4405e6b972cc,"('CFCs', 'air')"
0114f739-0964-3e45-9045-1221b33532df,"('CFCs', 'air')"
6a970f38-b25b-39dd-983b-2ba99b3ae96f,"('HCFCs', 'air')"
c1b0f3c7-546f-3bfa-ba02-fc5e657c2ea3,"('HCFCs', 'air')"
b31d192d-b7b6-390f-84fd-0cff83ecd040,"('HCFCs', 'air')"
76cf7898-8461-3265-a3a4-14dd2682779e,"('HCFCs', 'air')"
4529e142-b394-3c03-ae5d-5f207fdedc29,"('HCFCs', 'air')"
d683f0ad-0d8a-3470-bfe9-a8422ee62739,"('HCFCs', 'air')"
da3c6b78-9320-3f06-93d1-2b7fbc956af5,"('HCFCs', 'air')"
a6be4597-f9c6-36b1-82fd-92100038cc04,"('HCFCs', 'air')"
90798568-b00c-332c-b920-7cc5e266dcfb,"('HCFCs', 'air')"
bd0a7bc7-5183-3935-a4af-79c6bbab5ece,"('HCFCs', 'air')"
a94f791b-f806-37a6-95b5-f97fdcde3032,"('HCFCs', 'air')"
9f2a1084-784d-3a60-a416-b99bf13cc0ad,"('HCFCs', 'air')"
fdf3b4c5-2ed1-3079-ac71-d0ff465d5381,"('HCFCs', 'air')"
61958ff9-9fff-3e5b-95fa-693b347fbc6b,"('HCFCs', 'air')"
4aa66a65-f1c5-34a0-81a6-fe6b1227f0b5,"('HCFCs', 'air')"
f64b7ec9-c98b-302f-bfd8-744f712bd25e,"('HCFCs', 'air')"
4a3c80f0-d9b2-3250-8b52-ccbf69d1fa81,"('HCFCs', 'air')"
92fb9063-1747-3b8d-a37f-0a5fe5364008,"('HCFCs', 'air')"
80a78923-5b84-3a5d-962e-c8aaca74220a,"('HCFCs', 'air')"
a81063f2-2068-3479-ae49-6d96089701f3,"('HCFCs', 'air')"
efa2c8be-25c3-3b76-b6f3-eb81d658d7ee,"('HCFCs', 'air')"
01304663-4713-3652-8f84-01ce3d90555a,"('HCFCs', 'air')"
b76ba427-8f7e-3849-b3c7-903d7d9c49cd,"('HCFCs', 'air')"
17ae4fec-718c-3da8-bb02-9887addc8f88,"('HCFCs', 'air')"
85693002-0ac2-3559-9da9-ef956fbb8ccf,"('HCFCs', 'air')"
9e04178c-1f4a-361a-9806-8f17d3978bd0,"('HCFCs', 'air')"
807818a7-bc0b-3809-9cec-3e36a003b3f8,"('HCFCs', 'air')"
7a42054a-f330-3e70-9c97-f4de1356ea8f,"('HCFCs', 'air')"
f2e3d4af-d2da-3bb1-aebd-21e7aff98127,"('HCFCs', 'air')"
855a2189-636d-341a-af0b-65112a907c56,"('HCFCs', 'air')"
39173d9e-5683-3bac-9c9d-175fbc0bfcc7,"('HCFCs', 'air')"
c0d142e6-76fe-32d8-a407-b23dd9a94e17,"('HCFCs', 'air')"
785b8a26-c574-368d-82df-9eda85ae0912,"('HCFCs', 'air')"
