exiobase,nace2 section
Hotels and restaurants (55),Accommodation and food service activities
Private households with employed persons (95),Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use
Other business activities (74),Administrative and support service activities
Health and social work (85),Administrative and support service activities
Renting of machinery and equipment without operator and of personal and household goods (71),Administrative and support service activities
Pigs farming,"Agriculture, forestry and fishing"
Cultivation of oil seeds,"Agriculture, forestry and fishing"
"Forestry, logging and related service activities (02)","Agriculture, forestry and fishing"
"Fishing, operating of fish hatcheries and fish farms; service activities incidental to fishing (05)","Agriculture, forestry and fishing"
Meat animals nec,"Agriculture, forestry and fishing"
Extra-territorial organizations and bodies,"Agriculture, forestry and fishing"
Poultry farming,"Agriculture, forestry and fishing"
Cultivation of wheat,"Agriculture, forestry and fishing"
Cultivation of paddy rice,"Agriculture, forestry and fishing"
"Wool, silk-worm cocoons","Agriculture, forestry and fishing"
Cultivation of crops nec,"Agriculture, forestry and fishing"
Cultivation of cereal grains nec,"Agriculture, forestry and fishing"
"Manure treatment (biogas), storage and land application","Agriculture, forestry and fishing"
"Manure treatment (conventional), storage and land application","Agriculture, forestry and fishing"
Cattle farming,"Agriculture, forestry and fishing"
"Cultivation of vegetables, fruit, nuts","Agriculture, forestry and fishing"
Raw milk,"Agriculture, forestry and fishing"
"Cultivation of sugar cane, sugar beet","Agriculture, forestry and fishing"
Animal products nec,"Agriculture, forestry and fishing"
Cultivation of plant-based fibers,"Agriculture, forestry and fishing"
"Recreational, cultural and sporting activities (92)","Arts, entertainment and recreation"
Construction (45),Construction
Education (80),Education
"Extraction of natural gas and services related to natural gas extraction, excluding surveying","Electricity, gas, steam and air conditioning supply"
Manufacture of gas;,"Electricity, gas, steam and air conditioning supply"
"Extraction, liquefaction, and regasification of other petroleum and gaseous materials","Electricity, gas, steam and air conditioning supply"
Production of electricity by biomass and waste,"Electricity, gas, steam and air conditioning supply"
Production of electricity by wind,"Electricity, gas, steam and air conditioning supply"
Production of electricity by solar thermal,"Electricity, gas, steam and air conditioning supply"
"Production of electricity by tide, wave, ocean","Electricity, gas, steam and air conditioning supply"
Production of electricity by gas,"Electricity, gas, steam and air conditioning supply"
Production of electricity by nuclear,"Electricity, gas, steam and air conditioning supply"
Distribution of gaseous fuels through mains,"Electricity, gas, steam and air conditioning supply"
Distribution and trade of electricity,"Electricity, gas, steam and air conditioning supply"
Production of electricity nec,"Electricity, gas, steam and air conditioning supply"
Production of electricity by hydro,"Electricity, gas, steam and air conditioning supply"
Transmission of electricity,"Electricity, gas, steam and air conditioning supply"
Steam and hot water supply,"Electricity, gas, steam and air conditioning supply"
Production of electricity by petroleum and other oil derivatives,"Electricity, gas, steam and air conditioning supply"
Production of electricity by solar photovoltaic,"Electricity, gas, steam and air conditioning supply"
Production of electricity by coal,"Electricity, gas, steam and air conditioning supply"
Production of electricity by Geothermal,"Electricity, gas, steam and air conditioning supply"
Activities auxiliary to financial intermediation (67),Financial and insurance activities
"Financial intermediation, except insurance and pension funding (65)",Financial and insurance activities
"Insurance and pension funding, except compulsory social security (66)",Financial and insurance activities
Post and telecommunications (64),Information and communication
Computer and related activities (72),Information and communication
Other non-ferrous metal production,Manufacturing
Aluminium production,Manufacturing
Precious metals production,Manufacturing
Manufacture of basic iron and steel and of ferro-alloys and first products thereof,Manufacturing
Sugar refining,Manufacturing
"Tanning and dressing of leather; manufacture of luggage, handbags, saddlery, harness and footwear (19)",Manufacturing
Re-processing of ash into clinker,Manufacturing
Re-processing of secondary glass into new glass,Manufacturing
N-fertiliser,Manufacturing
Re-processing of secondary plastic into new plastic,Manufacturing
Manufacture of furniture; manufacturing n.e.c. (36),Manufacturing
"Plastics, basic",Manufacturing
Petroleum Refinery,Manufacturing
Re-processing of secondary steel into new steel,Manufacturing
Manufacture of coke oven products,Manufacturing
Re-processing of secondary paper into new pulp,Manufacturing
Re-processing of secondary wood material into new wood material,Manufacturing
Processed rice,Manufacturing
Recycling of bottles by direct reuse,Manufacturing
Manufacture of office machinery and computers (30),Manufacturing
Production of meat products nec,Manufacturing
