IndustryTypeCode,IndustryTypeName,NACE Code A,A
i01.a,Cultivation of paddy rice,1.1,Growing of non-perennial crops
i01.a,Cultivation of paddy rice,1.12,Growing of rice
i01.b,Cultivation of wheat,1.11,"Growing of cereals (except rice), leguminous crops and oil seeds"
i01.c,Cultivation of cereal grains nec,1.11,"Growing of cereals (except rice), leguminous crops and oil seeds"
i01.d,"Cultivation of vegetables, fruit, nuts",1.13,"Growing of vegetables and melons, roots and tubers"
i01.e,Cultivation of oil seeds,1.21,Growing of grapes
i01.e,Cultivation of oil seeds,1.22,Growing of tropical and subtropical fruits
i01.e,Cultivation of oil seeds,1.23,Growing of citrus fruits
i01.e,Cultivation of oil seeds,1.24,Growing of pome fruits and stone fruits
i01.f,"Cultivation of sugar cane, sugar beet",1.25,Growing of other tree and bush fruits and nuts
i01.f,"Cultivation of sugar cane, sugar beet",1.26,Growing of oleaginous fruits
i01.g,Cultivation of plant-based fibers,1.11,"Growing of cereals (except rice), leguminous crops and oil seeds"
i01.h,Cultivation of crops nec,1.14,Growing of sugar cane
i01.h,Cultivation of crops nec,1.13,"Growing of vegetables and melons, roots and tubers"
i01.h,Cultivation of crops nec,1.16,Growing of fibre crops
i01.h,Cultivation of crops nec,1.15,Growing of tobacco
i01.h,Cultivation of crops nec,1.19,Growing of other non-perennial crops
i01.h,Cultivation of crops nec,1.2,Growing of perennial crops
i01.h,Cultivation of crops nec,1.27,Growing of beverage crops
i01.h,Cultivation of crops nec,1.28,"Growing of spices, aromatic, drug and pharmaceutical crops"
i01.h,Cultivation of crops nec,1.29,Growing of other perennial crops
i01.h,Cultivation of crops nec,1.6,Support activities to agriculture and post-harvest crop activities
i01.h,Cultivation of crops nec,1.61,Support activities for crop production
i01.h,Cultivation of crops nec,1.63,Post-harvest crop activities
i01.h,Cultivation of crops nec,1.64,Seed processing for propagation
i01.i,Cattle farming,1.4,Animal production
i01.i,Cattle farming,1.41,Raising of dairy cattle
i01.i,Cattle farming,1.42,Raising of other cattle and buffaloes
i01.j,Pigs farming,1.46,Raising of swine/pigs
i01.k,Poultry farming,1.47,Raising of poultry
i01.l,Meat animals nec,1.4,Animal production
i01.l,Meat animals nec,1.43,Raising of horses and other equines
i01.l,Meat animals nec,1.44,Raising of camels and camelids
i01.l,Meat animals nec,1.45,Raising of sheep and goats
i01.l,Meat animals nec,1.49,Raising of other animals
i01.l,Meat animals nec,1.7,"Hunting, trapping and related service activities"
i01.m,Animal products nec,1.62,Support activities for animal production
i01.m,Animal products nec,10.1,Processing and preserving of meat and production of meat products
i01.m,Animal products nec,10.11,Processing and preserving of meat
i01.m,Animal products nec,10.12,Processing and preserving of poultry meat
i01.m,Animal products nec,10.13,Production of meat and poultry meat products
i01.n,Raw milk,1.41,Raising of dairy cattle
i01.o,"Wool, silk-worm cocoons",1.45,Raising of sheep and goats
i01.o,"Wool, silk-worm cocoons",1.49,Raising of other animals
i01.w.1,"Manure treatment (conventional), storage and land application",,
i01.w.2,"Manure treatment (biogas), storage and land application",,
i02,"Forestry, logging and related service activities",2.0,Forestry and logging
i05,"Fishing, operating of fish hatcheries and fish farms; service activities incidental to fishing",3.0,Fishing and aquaculture
i10,Mining of coal and lignite; extraction of peat,5.0,Mining of coal and lignite
i10,Mining of coal and lignite; extraction of peat,8.92,Extraction of peat
i11.a,"Extraction of crude petroleum and services related to crude oil extraction, excluding surveying",6.1,Extraction of crude petroleum
i11.a,"Extraction of crude petroleum and services related to crude oil extraction, excluding surveying",9.1,Support activities for petroleum and natural gas extraction
i11.b,"Extraction of natural gas and services related to natural gas extraction, excluding surveying",6.2,Extraction of natural gas
i11.b,"Extraction of natural gas and services related to natural gas extraction, excluding surveying",9.1,Support activities for petroleum and natural gas extraction
i11.c,"Extraction, liquefaction, and regasification of other petroleum and gaseous materials",52.21,Service activities incidental to land transportation
i11.c,"Extraction, liquefaction, and regasification of other petroleum and gaseous materials",52.22,Service activities incidental to water transportation
i11.c,"Extraction, liquefaction, and regasification of other petroleum and gaseous materials",9.1,Support activities for petroleum and natural gas extraction
i12,Mining of uranium and thorium ores,7.21,Mining of uranium and thorium ores
i13.1,Mining of iron ores,7.1,Mining of iron ores
i13.20.11,Mining of copper ores and concentrates,7.2,Mining of non-ferrous metal ores
i13.20.12,Mining of nickel ores and concentrates,7.2,Mining of non-ferrous metal ores
i13.20.13,Mining of aluminium ores and concentrates,7.2,Mining of non-ferrous metal ores
i13.20.14,Mining of precious metal ores and concentrates,7.2,Mining of non-ferrous metal ores
i13.20.15,"Mining of lead, zinc and tin ores and concentrates",7.2,Mining of non-ferrous metal ores
i13.20.16,Mining of other non-ferrous metal ores and concentrates,7.29,Mining of other non-ferrous metal ores
i14.1,Quarrying of stone,8.11,"Quarrying of ornamental and building stone, limestone, gypsum, chalk and slate"
i14.2,Quarrying of sand and clay,8.12,Operation of gravel and sand pits; mining of clays and kaolin
i14.3,"Mining of chemical and fertilizer minerals, production of salt, other mining and quarrying n.e.c.",8.91,Mining of chemical and fertiliser minerals
i14.3,"Mining of chemical and fertilizer minerals, production of salt, other mining and quarrying n.e.c.",8.93,Extraction of salt
i14.3,"Mining of chemical and fertilizer minerals, production of salt, other mining and quarrying n.e.c.",8.99,Other mining and quarrying n.e.c.
i15.a,Processing of meat cattle,10.11,Processing and preserving of meat
i15.a,Processing of meat cattle,10.13,Production of meat and poultry meat products
i15.b,Processing of meat pigs,10.11,Processing and preserving of meat
i15.b,Processing of meat pigs,10.13,Production of meat and poultry meat products
i15.c,Processing of meat poultry,10.12,Processing and preserving of poultry meat
i15.c,Processing of meat poultry,10.13,Production of meat and poultry meat products
i15.d,Production of meat products nec,10.11,Processing and preserving of meat
i15.d,Production of meat products nec,10.13,Production of meat and poultry meat products
i15.e,Processing vegetable oils and fats,10.4,Manufacture of vegetable and animal oils and fats
i15.f,Processing of dairy products,10.5,Manufacture of dairy products
i15.g,Processed rice,10.61,Manufacture of grain mill products
i15.h,Sugar refining,10.81,Manufacture of sugar
i15.i,Processing of Food products nec,10.3,Processing and preserving of fruit and vegetables
i15.i,Processing of Food products nec,10.62,Manufacture of starches and starch products
i15.i,Processing of Food products nec,10.7,Manufacture of bakery and farinaceous products
i15.i,Processing of Food products nec,10.82,"Manufacture of cocoa, chocolate and sugar confectionery"
i15.i,Processing of Food products nec,10.83,Processing of tea and coffee
i15.i,Processing of Food products nec,10.84,Manufacture of condiments and seasonings
i15.i,Processing of Food products nec,10.85,Manufacture of prepared meals and dishes
i15.i,Processing of Food products nec,10.86,Manufacture of homogenised food preparations and dietetic food
i15.i,Processing of Food products nec,10.89,Manufacture of other food products n.e.c.
i15.i,Processing of Food products nec,10.9,Manufacture of prepared animal feeds
i15.j,Manufacture of beverages,11.0,Manufacture of beverages
i15.k,Manufacture of fish products,10.2,"Processing and preserving of fish, crustaceans and molluscs"
i16,Manufacture of tobacco products,12.0,Manufacture of tobacco products
i17,Manufacture of textiles,13.0,Manufacture of textiles
i18,Manufacture of wearing apparel; dressing and dyeing of fur,14.0,Manufacture of wearing apparel
