LC-IMPACT_Name,US_EPA_Name,URI
Carbon dioxide,Carbon dioxide,http://www.chemspider.com/Chemical-Structure.274.rdf
Methane,Methane,http://www.chemspider.com/Chemical-Structure.291.rdf
Fossil methane,Methane,http://www.chemspider.com/Chemical-Structure.291.rdf
Nitrous oxide,Nitrous oxide,http://www.chemspider.com/Chemical-Structure.923.rdf
CFC-11,CFC-11,http://www.chemspider.com/Chemical-Structure.6149.rdf
CFC-12,CFC-12,http://www.chemspider.com/Chemical-Structure.6151.rdf
CFC-13,CFC-13,http://www.chemspider.com/Chemical-Structure.6152.rdf
CFC-113,CFC-113,http://www.chemspider.com/Chemical-Structure.6152.rdf
CFC-114,CFC-114,http://www.chemspider.com/Chemical-Structure.221830.rdf
CFC-115,CFC-115,http://www.chemspider.com/Chemical-Structure.6190.rdf
HCFC-21,HCFC-21,http://www.chemspider.com/Chemical-Structure.6130.rdf
HCFC-22,HCFC-22,http://www.chemspider.com/Chemical-Structure.6132.rdf
HCFC-122,HCFC-122,http://www.chemspider.com/Chemical-Structure.9253.rdf
HCFC-123,HCFC-123,http://www.chemspider.com/Chemical-Structure.9016.rdf
HCFC-123a,HCFC-123a,http://www.chemspider.com/Chemical-Structure.9254.rdf
HCFC-124,HCFC-124,http://www.chemspider.com/Chemical-Structure.16841.rdf
HCFC-141b,HCFC-141b,http://www.chemspider.com/Chemical-Structure.14829.rdf
HCFC-142b,HCFC-142b,http://www.chemspider.com/Chemical-Structure.6148.rdf
HCFC-225ca,HCFC-225ca,http://www.chemspider.com/Chemical-Structure.55063.rdf
HCFC-225cb,HCFC-225cb,http://www.chemspider.com/Chemical-Structure.56144.rdf
HFC-23,HFC-23,http://www.chemspider.com/Chemical-Structure.21106179.rdf
HFC-32,HFC-32,http://www.chemspider.com/Chemical-Structure.6105.rdf
HFC-41,HFC-41,http://www.chemspider.com/Chemical-Structure.11148.rdf
HFC-125,HFC-125,http://www.chemspider.com/Chemical-Structure.9256.rdf
HFC-134,HFC-134,http://www.chemspider.com/Chemical-Structure.9286.rdf
HFC-134a,HFC-134a,http://www.chemspider.com/Chemical-Structure.12577.rdf
HFC-143,HFC-143,http://www.chemspider.com/Chemical-Structure.9506.rdf
HFC-143a,HFC-143a,http://www.chemspider.com/Chemical-Structure.9484.rdf
HFC-152,HFC-152,http://www.chemspider.com/Chemical-Structure.11722.rdf
HFC-152a,HFC-152a,http://www.chemspider.com/Chemical-Structure.6128.rdf
HFC-161,HFC-161,http://www.chemspider.com/Chemical-Structure.9243.rdf
HFC-227ea,HFC-227ea,http://www.chemspider.com/Chemical-Structure.61257.rdf
HFC-236cb,HFC-236cb,http://www.chemspider.com/Chemical-Structure.455592.rdf
HFC-236ea,HFC-236ea,http://www.chemspider.com/Chemical-Structure.71342.rdf
HFC-236fa,HFC-236fa,http://www.chemspider.com/Chemical-Structure.12199.rdf
HFC-245ca,HFC-245ca,http://www.chemspider.com/Chemical-Structure.62827.rdf
HFC-245fa,HFC-245fa,http://www.chemspider.com/Chemical-Structure.61345.rdf
HFC-365mfc,HFC-365mfc,http://www.chemspider.com/Chemical-Structure.61201.rdf
HFC-43-10mee,HFC-4310mee,http://www.chemspider.com/Chemical-Structure.77787.rdf
(E)-HFC-1234ze,HFC-1234ze(E),http://www.chemspider.com/Chemical-Structure.4647426.rdf
Carbon tetrachloride,Carbon tetrachloride,http://www.chemspider.com/Chemical-Structure.5730.rdf
Methyl chloride,Chloromethane,http://www.chemspider.com/Chemical-Structure.6087.rdf
Methylene chloride,Methylene chloride,http://www.chemspider.com/Chemical-Structure.6104.rdf
Chloroform,Chloroform,http://www.chemspider.com/Chemical-Structure.5977.rdf
"1,2-Dichloroethane",Dichloroethane,http://www.chemspider.com/Chemical-Structure.13837650.rdf
Methyl bromide,Methyl bromide,http://www.chemspider.com/Chemical-Structure.6083.rdf
Methylene bromide,Dibromomethane,http://www.chemspider.com/Chemical-Structure.2916.rdf
Halon-1201,Bromodifluoromethane,http://www.chemspider.com/Chemical-Structure.56193.rdf
Halon-1211,Halon 1211,http://www.chemspider.com/Chemical-Structure.9248.rdf
Halon-1301,Halon 1301,http://www.chemspider.com/Chemical-Structure.6144.rdf
Nitrogen trifluoride,Nitrogen trifluoride,http://www.chemspider.com/Chemical-Structure.22959.rdf
Sulphur hexafluoride,Sulfur hexafluoride,http://www.chemspider.com/Chemical-Structure.21159667.rdf
(Trifluoromethyl)sulfur pentafluoride,Trifluoromethyl sulfur pentafluoride,http://www.chemspider.com/Chemical-Structure.119988.rdf
Sulfuryl fluoride,Sulfuryl fluoride,http://www.chemspider.com/Chemical-Structure.16647.rdf
PFC-14,Carbon tetrafluoride,http://www.chemspider.com/Chemical-Structure.6153.rdf
PFC-116,Hexafluoroethane,http://www.chemspider.com/Chemical-Structure.6191.rdf
PFC-218,Perfluoropropane,http://www.chemspider.com/Chemical-Structure.6192.rdf
PFC-318,Perfluorocyclobutane,http://www.chemspider.com/Chemical-Structure.13846040.rdf
PFC-31-10,Perfluorobutane,http://www.chemspider.com/Chemical-Structure.13862701.rdf
PFC-41-12,Perfluoropentane,http://www.chemspider.com/Chemical-Structure.12154.rdf
PFC-51-14,Perfluorohexane,http://www.chemspider.com/Chemical-Structure.9262.rdf
PFC-91-18,Perfluorodecalin,http://www.chemspider.com/Chemical-Structure.13888074.rdf
PFC-1114,Tetrafluoroethene,http://www.chemspider.com/Chemical-Structure.8000.rdf
HFE-329mcc2,HFE-329mcc2,http://www.chemspider.com/Chemical-Structure.13270790.rdf
