US_EPA_Name,predicate,chemspyder_URI
Carbon dioxide,owl:sameAs,http://www.chemspider.com/Chemical-Structure.274.rdf
Methane,owl:sameAs,http://www.chemspider.com/Chemical-Structure.291.rdf
Nitrous oxide,owl:sameAs,http://www.chemspider.com/Chemical-Structure.923.rdf
CFC-11,owl:sameAs,http://www.chemspider.com/Chemical-Structure.6149.rdf
CFC-12,owl:sameAs,http://www.chemspider.com/Chemical-Structure.6151.rdf
CFC-13,owl:sameAs,http://www.chemspider.com/Chemical-Structure.6152.rdf
CFC-113,owl:sameAs,http://www.chemspider.com/Chemical-Structure.6188.rdf
CFC-114,owl:sameAs,http://www.chemspider.com/Chemical-Structure.221830.rdf
CFC-115,owl:sameAs,http://www.chemspider.com/Chemical-Structure.6190.rdf
HCFC-21,owl:sameAs,http://www.chemspider.com/Chemical-Structure.6130.rdf
HCFC-22,owl:sameAs,http://www.chemspider.com/Chemical-Structure.6132.rdf
HCFC-122,owl:sameAs,http://www.chemspider.com/Chemical-Structure.9253.rdf
HCFC-123,owl:sameAs,http://www.chemspider.com/Chemical-Structure.9016.rdf
HCFC-123a,owl:sameAs,http://www.chemspider.com/Chemical-Structure.9254.rdf
HCFC-124,owl:sameAs,http://www.chemspider.com/Chemical-Structure.16841.rdf
HCFC-141b,owl:sameAs,http://www.chemspider.com/Chemical-Structure.14829.rdf
HCFC-142b,owl:sameAs,http://www.chemspider.com/Chemical-Structure.6148.rdf
HCFC-225ca,owl:sameAs,http://www.chemspider.com/Chemical-Structure.55063.rdf
HCFC-225cb,owl:sameAs,http://www.chemspider.com/Chemical-Structure.56144.rdf
HFC-23,owl:sameAs,http://www.chemspider.com/Chemical-Structure.21106179.rdf
HFC-32,owl:sameAs,http://www.chemspider.com/Chemical-Structure.6105.rdf
HFC-41,owl:sameAs,http://www.chemspider.com/Chemical-Structure.11148.rdf
HFC-125,owl:sameAs,http://www.chemspider.com/Chemical-Structure.9256.rdf
HFC-134,owl:sameAs,http://www.chemspider.com/Chemical-Structure.9286.rdf
HFC-134a,owl:sameAs,http://www.chemspider.com/Chemical-Structure.12577.rdf
HFC-143,owl:sameAs,http://www.chemspider.com/Chemical-Structure.9506.rdf
HFC-143a,owl:sameAs,http://www.chemspider.com/Chemical-Structure.9484.rdf
HFC-152,owl:sameAs,http://www.chemspider.com/Chemical-Structure.11722.rdf
HFC-152a,owl:sameAs,http://www.chemspider.com/Chemical-Structure.6128.rdf
HFC-161,owl:sameAs,http://www.chemspider.com/Chemical-Structure.9243.rdf
HFC-227ea,owl:sameAs,http://www.chemspider.com/Chemical-Structure.61257.rdf
HFC-236cb,owl:sameAs,http://www.chemspider.com/Chemical-Structure.455592.rdf
HFC-236ea,owl:sameAs,http://www.chemspider.com/Chemical-Structure.71342.rdf
HFC-236fa,owl:sameAs,http://www.chemspider.com/Chemical-Structure.12199.rdf
HFC-245ca,owl:sameAs,http://www.chemspider.com/Chemical-Structure.62827.rdf
HFC-245fa,owl:sameAs,http://www.chemspider.com/Chemical-Structure.61345.rdf
HFC-365mfc,owl:sameAs,http://www.chemspider.com/Chemical-Structure.61201.rdf
HFC-4310mee,owl:sameAs,http://www.chemspider.com/Chemical-Structure.77787.rdf
HFC-1234ze(E),owl:sameAs,http://www.chemspider.com/Chemical-Structure.4647426.rdf
Carbon tetrachloride,owl:sameAs,http://www.chemspider.com/Chemical-Structure.5730.rdf
Chloromethane,owl:sameAs,http://www.chemspider.com/Chemical-Structure.6087.rdf
Methylene chloride,owl:sameAs,http://www.chemspider.com/Chemical-Structure.6104.rdf
Chloroform,owl:sameAs,http://www.chemspider.com/Chemical-Structure.5977.rdf
Dichloroethane,owl:sameAs,http://www.chemspider.com/Chemical-Structure.13837650.rdf
Methyl bromide,owl:sameAs,http://www.chemspider.com/Chemical-Structure.6083.rdf
Dibromomethane,owl:sameAs,http://www.chemspider.com/Chemical-Structure.2916.rdf
Bromodifluoromethane,owl:sameAs,http://www.chemspider.com/Chemical-Structure.56193.rdf
Halon 1211,owl:sameAs,http://www.chemspider.com/Chemical-Structure.9248.rdf
Halon 1301,owl:sameAs,http://www.chemspider.com/Chemical-Structure.6144.rdf
Nitrogen trifluoride,owl:sameAs,http://www.chemspider.com/Chemical-Structure.22959.rdf
Sulfur hexafluoride,owl:sameAs,http://www.chemspider.com/Chemical-Structure.21159667.rdf
Trifluoromethyl sulfur pentafluoride,owl:sameAs,http://www.chemspider.com/Chemical-Structure.119988.rdf
Sulfuryl fluoride,owl:sameAs,http://www.chemspider.com/Chemical-Structure.16647.rdf
Carbon tetrafluoride,owl:sameAs,http://www.chemspider.com/Chemical-Structure.6153.rdf
Hexafluoroethane,owl:sameAs,http://www.chemspider.com/Chemical-Structure.6191.rdf
Perfluoropropane,owl:sameAs,http://www.chemspider.com/Chemical-Structure.6192.rdf
Perfluorocyclobutane,owl:sameAs,http://www.chemspider.com/Chemical-Structure.13846040.rdf
Perfluorobutane,owl:sameAs,http://www.chemspider.com/Chemical-Structure.13862701.rdf
