hsut product name,hiot product name,predicate
Paddy rice,Paddy rice,OWL.SameAs
Wheat,Wheat,OWL.SameAs
Cereal grains nec,Cereal grains nec,OWL.SameAs
Vegetables; fruit; nuts,"Vegetables, fruit, nuts",OWL.SameAs
Oil seeds,Oil seeds,OWL.SameAs
Sugar cane; sugar beet,"Sugar cane, sugar beet",OWL.SameAs
Plant-based fibers,Plant-based fibers,OWL.SameAs
Crops nec,Crops nec,OWL.SameAs
Cattle,Cattle,OWL.SameAs
Pigs,Pigs,OWL.SameAs
Poultry,Poultry,OWL.SameAs
Meat animals nec,Meat animals nec,OWL.SameAs
Animal products nec,Animal products nec,OWL.SameAs
Raw milk,Raw milk,OWL.SameAs
Wool; silk-worm cocoons,"Wool, silk-worm cocoons",OWL.SameAs
Manure (conventional treatment),Manure (conventional treatment),OWL.SameAs
Manure (biogas treatment),Manure (biogas treatment),OWL.SameAs
Products of forestry; logging and related services (02),"Products of forestry, logging and related services (02)",OWL.SameAs
Fish and other fishing products; services incidental of fishing (05),Fish and other fishing products; services incidental of fishing (05),OWL.SameAs
Anthracite,"Coal, lignite and peat",rdfs:subClassOf
Coking Coal,"Coal, lignite and peat",rdfs:subClassOf
Other Bituminous Coal,"Coal, lignite and peat",rdfs:subClassOf
Sub-Bituminous Coal,"Coal, lignite and peat",rdfs:subClassOf
Patent Fuel,"Coal, lignite and peat",rdfs:subClassOf
Lignite/Brown Coal,"Coal, lignite and peat",rdfs:subClassOf
BKB/Peat Briquettes,"Coal, lignite and peat",rdfs:subClassOf
Peat,"Coal, lignite and peat",rdfs:subClassOf
Crude petroleum and services related to crude oil extraction; excluding surveying,"Crude petroleum and services related to crude oil extraction, excluding surveying",OWL.SameAs
Natural gas and services related to natural gas extraction; excluding surveying,"Natural gas and services related to natural gas extraction, excluding surveying; inclulding liquid gas",rdfs:subClassOf
Natural Gas Liquids,"Natural gas and services related to natural gas extraction, excluding surveying; inclulding liquid gas",rdfs:subClassOf
Other Hydrocarbons,Other Hydrocarbons,OWL.SameAs
Uranium and thorium ores (12),Uranium and thorium ores (12),OWL.SameAs
Iron ores,Iron ores,OWL.SameAs
Copper ores and concentrates,Copper ores and concentrates,OWL.SameAs
Nickel ores and concentrates,Nickel ores and concentrates,OWL.SameAs
Aluminium ores and concentrates,Aluminium ores and concentrates,OWL.SameAs
Precious metal ores and concentrates,Precious metal ores and concentrates,OWL.SameAs
Lead; zinc and tin ores and concentrates,"Lead, zinc and tin ores and concentrates",OWL.SameAs
Other non-ferrous metal ores and concentrates,Other non-ferrous metal ores and concentrates,OWL.SameAs
Stone,Stone,OWL.SameAs
Sand and clay,Sand and clay,OWL.SameAs
Chemical and fertilizer minerals; salt and other mining and quarrying products n.e.c.,"Chemical and fertilizer minerals, salt and other mining and quarrying products n.e.c.",OWL.SameAs
Products of meat cattle,Products of meat cattle,OWL.SameAs
Products of meat pigs,Products of meat pigs,OWL.SameAs
Products of meat poultry,Products of meat poultry,OWL.SameAs
