Exiobase Activity name,Bentso technology
Production of electricity by coal,Fossil Hard coal
Production of electricity by coal,Fossil Brown coal/Lignite
Production of electricity by gas,Fossil Gas
Production of electricity by gas,Fossil Coal-derived gas
Production of electricity by nuclear,Nuclear
Production of electricity by hydro,Hydro Pumped Storage
Production of electricity by hydro,Hydro Run-of-river and poundage
Production of electricity by hydro,Hydro Water Reservoir
Production of electricity by wind,Wind Offshore
Production of electricity by wind,Wind Onshore
Production of electricity by petroleum and other oil derivatives,Fossil Oil
Production of electricity by biomass and waste,Biomass
Production of electricity by biomass and waste,Waste
Production of electricity by solar photovoltaic,Solar
Production of electricity by solar thermal,Solar
"Production of electricity by tide, wave, ocean",Other renewable
Production of electricity by Geothermal,Geothermal
Production of electricity nec,Other
