US_EPA_Name,URI
Carbon dioxide,http://www.chemspider.com/Chemical-Structure.274.rdf
Methane,http://www.chemspider.com/Chemical-Structure.291.rdf
Nitrous oxide,http://www.chemspider.com/Chemical-Structure.923.rdf
CFC-11,http://www.chemspider.com/Chemical-Structure.6149.rdf
CFC-12,http://www.chemspider.com/Chemical-Structure.6151.rdf
CFC-13,http://www.chemspider.com/Chemical-Structure.6152.rdf
CFC-113,http://www.chemspider.com/Chemical-Structure.6152.rdf
CFC-114,http://www.chemspider.com/Chemical-Structure.221830.rdf
CFC-115,http://www.chemspider.com/Chemical-Structure.6190.rdf
HCFC-21,http://www.chemspider.com/Chemical-Structure.6130.rdf
HCFC-22,http://www.chemspider.com/Chemical-Structure.6132.rdf
HCFC-122,http://www.chemspider.com/Chemical-Structure.9253.rdf
HCFC-123,http://www.chemspider.com/Chemical-Structure.9016.rdf
HCFC-123a,http://www.chemspider.com/Chemical-Structure.9254.rdf
HCFC-124,http://www.chemspider.com/Chemical-Structure.16841.rdf
HCFC-141b,http://www.chemspider.com/Chemical-Structure.14829.rdf
HCFC-142b,http://www.chemspider.com/Chemical-Structure.6148.rdf
HCFC-225ca,http://www.chemspider.com/Chemical-Structure.55063.rdf
HCFC-225cb,http://www.chemspider.com/Chemical-Structure.56144.rdf
HFC-23,http://www.chemspider.com/Chemical-Structure.21106179.rdf
HFC-32,http://www.chemspider.com/Chemical-Structure.6105.rdf
HFC-41,http://www.chemspider.com/Chemical-Structure.11148.rdf
HFC-125,http://www.chemspider.com/Chemical-Structure.9256.rdf
HFC-134,http://www.chemspider.com/Chemical-Structure.9286.rdf
HFC-134a,http://www.chemspider.com/Chemical-Structure.12577.rdf
HFC-143,http://www.chemspider.com/Chemical-Structure.9506.rdf
HFC-143a,http://www.chemspider.com/Chemical-Structure.9484.rdf
HFC-152,http://www.chemspider.com/Chemical-Structure.11722.rdf
HFC-152a,http://www.chemspider.com/Chemical-Structure.6128.rdf
HFC-161,http://www.chemspider.com/Chemical-Structure.9243.rdf
HFC-227ea,http://www.chemspider.com/Chemical-Structure.61257.rdf
HFC-236cb,http://www.chemspider.com/Chemical-Structure.455592.rdf
HFC-236ea,http://www.chemspider.com/Chemical-Structure.71342.rdf
HFC-236fa,http://www.chemspider.com/Chemical-Structure.12199.rdf
HFC-245ca,http://www.chemspider.com/Chemical-Structure.62827.rdf
HFC-245fa,http://www.chemspider.com/Chemical-Structure.61345.rdf
HFC-365mfc,http://www.chemspider.com/Chemical-Structure.61201.rdf
HFC-4310mee,http://www.chemspider.com/Chemical-Structure.77787.rdf
HFC-1234ze(E),http://www.chemspider.com/Chemical-Structure.4647426.rdf
Carbon tetrachloride,http://www.chemspider.com/Chemical-Structure.5730.rdf
Chloromethane,http://www.chemspider.com/Chemical-Structure.6087.rdf
Methylene chloride,http://www.chemspider.com/Chemical-Structure.6104.rdf
Chloroform,http://www.chemspider.com/Chemical-Structure.5977.rdf
Dichloroethane,http://www.chemspider.com/Chemical-Structure.13837650.rdf
Methyl bromide,http://www.chemspider.com/Chemical-Structure.6083.rdf
Dibromomethane,http://www.chemspider.com/Chemical-Structure.2916.rdf
Bromodifluoromethane,http://www.chemspider.com/Chemical-Structure.56193.rdf
Halon 1211,http://www.chemspider.com/Chemical-Structure.9248.rdf
Halon 1301,http://www.chemspider.com/Chemical-Structure.6144.rdf
Nitrogen trifluoride,http://www.chemspider.com/Chemical-Structure.22959.rdf
Sulfur hexafluoride,http://www.chemspider.com/Chemical-Structure.21159667.rdf
Trifluoromethyl sulfur pentafluoride,http://www.chemspider.com/Chemical-Structure.119988.rdf
Sulfuryl fluoride,http://www.chemspider.com/Chemical-Structure.16647.rdf
Carbon tetrafluoride,http://www.chemspider.com/Chemical-Structure.6153.rdf
Hexafluoroethane,http://www.chemspider.com/Chemical-Structure.6191.rdf
Perfluoropropane,http://www.chemspider.com/Chemical-Structure.6192.rdf
Perfluorocyclobutane,http://www.chemspider.com/Chemical-Structure.13846040.rdf
Perfluorobutane,http://www.chemspider.com/Chemical-Structure.13862701.rdf
Perfluoropentane,http://www.chemspider.com/Chemical-Structure.12154.rdf
Perfluorohexane,http://www.chemspider.com/Chemical-Structure.9262.rdf
Perfluorodecalin,http://www.chemspider.com/Chemical-Structure.13888074.rdf
Tetrafluoroethene,http://www.chemspider.com/Chemical-Structure.8000.rdf
HFE-329mcc2,http://www.chemspider.com/Chemical-Structure.13270790.rdf
HFE-338mcf2,http://www.chemspider.com/Chemical-Structure.2056281.rdf
HFE-347mcf2,http://www.chemspider.com/Chemical-Structure.11214141.rdf
HFE-347pcf2,http://www.chemspider.com/Chemical-Structure.144293.rdf
HFE-356mec3,http://www.chemspider.com/Chemical-Structure.2058620.rdf
HFE-356pcf2,http://www.chemspider.com/Chemical-Structure.24591028.rdf
HFE-356pcf3,http://www.chemspider.com/Chemical-Structure.2018678.rdf
HFE-356pcc3,http://www.chemspider.com/Chemical-Structure.11214145.rdf
HFE-365mcf3,http://www.chemspider.com/Chemical-Structure.2056341.rdf
HFE-338pcc13 (HG-01),http://www.chemspider.com/Chemical-Structure.8035172.rdf
Methyl chlorocarbonate,http://www.chemspider.com/Chemical-Structure.6337.rdf
