CN2017,,SITC Rev 4
0101 21 00,ex,001.50
0101 29 10,ex,001.50
0101 29 90,ex,001.50
0101 30 00,ex,001.50
0101 90 00,ex,001.50
0102 21 10,ex,001.11
0102 21 30,ex,001.11
0102 21 90,ex,001.11
0102 29 05,ex,001.19
0102 29 10,ex,001.19
0102 29 21,ex,001.19
0102 29 29,ex,001.19
0102 29 41,ex,001.19
0102 29 49,ex,001.19
0102 29 51,ex,001.19
0102 29 59,ex,001.19
0102 29 61,ex,001.19
0102 29 69,ex,001.19
0102 29 91,ex,001.19
0102 29 99,ex,001.19
0102 31 00,ex,001.11
0102 39 10,ex,001.19
0102 39 90,ex,001.19
0102 90 20,ex,001.11
0102 90 91,ex,001.19
0102 90 99,ex,001.19
0103 10 00,-,001.31
0103 91 10,ex,001.39
0103 91 90,ex,001.39
0103 92 11,ex,001.39
0103 92 19,ex,001.39
0103 92 90,ex,001.39
0104 10 10,ex,001.21
0104 10 30,ex,001.21
0104 10 80,ex,001.21
0104 20 10,ex,001.22
0104 20 90,ex,001.22
0105 11 11,ex,001.41
0105 11 19,ex,001.41
0105 11 91,ex,001.41
0105 11 99,ex,001.41
0105 12 00,ex,001.41
0105 13 00,ex,001.41
0105 14 00,ex,001.41
0105 15 00,ex,001.41
0105 94 00,ex,001.49
0105 99 10,ex,001.49
0105 99 20,ex,001.49
0105 99 30,ex,001.49
0105 99 50,ex,001.49
0106 11 00,ex,001.90
0106 12 00,ex,001.90
0106 13 00,ex,001.90
0106 14 10,ex,001.90
0106 14 90,ex,001.90
0106 19 00,ex,001.90
0106 20 00,ex,001.90
0106 31 00,ex,001.90
0106 32 00,ex,001.90
0106 33 00,ex,001.90
0106 39 10,ex,001.90
0106 39 80,ex,001.90
0106 41 00,ex,001.90
0106 49 00,ex,001.90
0106 90 00,ex,001.90
0201 10 00,ex,011.11
0201 20 20,ex,011.11
0201 20 30,ex,011.11
0201 20 50,ex,011.11
0201 20 90,ex,011.11
0201 30 00,-,011.12
0202 10 00,ex,011.21
0202 20 10,ex,011.21
0202 20 30,ex,011.21
0202 20 50,ex,011.21
0202 20 90,ex,011.21
0202 30 10,ex,011.22
0202 30 50,ex,011.22
0202 30 90,ex,011.22
0203 11 10,ex,012.21
0203 11 90,ex,012.21
0203 12 11,ex,012.21
0203 12 19,ex,012.21
0203 12 90,ex,012.21
0203 19 11,ex,012.21
0203 19 13,ex,012.21
0203 19 15,ex,012.21
0203 19 55,ex,012.21
0203 19 59,ex,012.21
0203 19 90,ex,012.21
0203 21 10,ex,012.22
0203 21 90,ex,012.22
0203 22 11,ex,012.22
0203 22 19,ex,012.22
0203 22 90,ex,012.22
0203 29 11,ex,012.22
0203 29 13,ex,012.22
0203 29 15,ex,012.22
0203 29 55,ex,012.22
0203 29 59,ex,012.22
0203 29 90,ex,012.22
0204 10 00,ex,012.11
0204 21 00,ex,012.11
0204 22 10,ex,012.11
0204 22 30,ex,012.11
0204 22 50,ex,012.11
0204 22 90,ex,012.11
0204 23 00,ex,012.11
0204 30 00,ex,012.12
0204 41 00,ex,012.12
0204 42 10,ex,012.12
0204 42 30,ex,012.12
0204 42 50,ex,012.12
0204 42 90,ex,012.12
0204 43 10,ex,012.12
0204 43 90,ex,012.12
0204 50 11,ex,012.13
0204 50 13,ex,012.13
0204 50 15,ex,012.13
0204 50 19,ex,012.13
0204 50 31,ex,012.13
0204 50 39,ex,012.13
0204 50 51,ex,012.13
