,Emission name,Unit ,Compartment,ecoinvent/simapro,ecoinvent_id,ecoinvent_unit_id,ecoinvet_casnumber,ecoinvent_formula,ecoinvent_name,ecoinvent_unit,ecoinvent_subcompartmentid,ecoinvent_compartment,ecoinvent_subcompartment,ecoinvent_synonym
0,"Carbon dioxide, fossil",tonnes,air,"Air - Carbon dioxide, fossil",349b29d1-3e58-4c66-98b9-9d1a076efd2e,487df68b-4994-4027-8fdc-a4dc298257b7,000124-38-9,,"Carbon dioxide, fossil",kg,7011f0aa-f5f9-4901-8c10-884ad8296812,air,unspecified,
1,"Carbon dioxide, fossil",tonnes,air,"Air - Carbon dioxide, fossil",e259263c-d1f1-449f-bb9b-73c6d0a32a00,487df68b-4994-4027-8fdc-a4dc298257b7,000124-38-9,,"Carbon dioxide, fossil",kg,23dbff79-8037-43e7-b270-5a3da416a284,air,"low population density, long-term",
2,"Carbon dioxide, fossil",tonnes,air,"Air - Carbon dioxide, fossil",16eeda8a-1ea2-408e-ab37-2648495058dd,487df68b-4994-4027-8fdc-a4dc298257b7,000124-38-9,,"Carbon dioxide, fossil",kg,f335ce0e-b830-475a-adab-03858d9cbdaf,air,lower stratosphere + upper troposphere,
3,"Carbon dioxide, fossil",tonnes,air,"Air - Carbon dioxide, fossil",aa7cac3a-3625-41d4-bc54-33e2cf11ec46,487df68b-4994-4027-8fdc-a4dc298257b7,000124-38-9,,"Carbon dioxide, fossil",kg,be7e06e9-0bf5-462e-99dc-fe4aee383c48,air,non-urban air or from high stacks,
4,"Carbon dioxide, fossil",tonnes,air,"Air - Carbon dioxide, fossil",f9749677-9c9f-4678-ab55-c607dfdc2cb9,487df68b-4994-4027-8fdc-a4dc298257b7,000124-38-9,,"Carbon dioxide, fossil",kg,e8d7772c-55ca-4dd7-b605-fee5ae764578,air,urban air close to ground,
5,N2O,tonnes,air,Air - Dinitrogen monoxide,20185046-64bb-4c09-a8e7-e8a9e144ca98,487df68b-4994-4027-8fdc-a4dc298257b7,010024-97-2,,Dinitrogen monoxide,kg,7011f0aa-f5f9-4901-8c10-884ad8296812,air,unspecified,
6,N2O,tonnes,air,Air - Dinitrogen monoxide,81305cda-63f1-4c1a-99c6-2c2568550ec4,487df68b-4994-4027-8fdc-a4dc298257b7,010024-97-2,,Dinitrogen monoxide,kg,23dbff79-8037-43e7-b270-5a3da416a284,air,"low population density, long-term",Stickstoffdioxid
7,N2O,tonnes,air,Air - Dinitrogen monoxide,473826ae-125a-4b02-8c8e-c84322491d80,487df68b-4994-4027-8fdc-a4dc298257b7,010024-97-2,,Dinitrogen monoxide,kg,f335ce0e-b830-475a-adab-03858d9cbdaf,air,lower stratosphere + upper troposphere,Stickstoffdioxid
8,N2O,tonnes,air,Air - Dinitrogen monoxide,afd6d670-bbb0-4625-9730-04088a5b035e,487df68b-4994-4027-8fdc-a4dc298257b7,010024-97-2,,Dinitrogen monoxide,kg,be7e06e9-0bf5-462e-99dc-fe4aee383c48,air,non-urban air or from high stacks,
9,N2O,tonnes,air,Air - Dinitrogen monoxide,6dc1b46f-ee89-4495-95c4-b8a637bcd6cb,487df68b-4994-4027-8fdc-a4dc298257b7,010024-97-2,,Dinitrogen monoxide,kg,e8d7772c-55ca-4dd7-b605-fee5ae764578,air,urban air close to ground,
