ecoinvent id,ecoinvent activity label,label IO product
d530966e-e7a1-4806-8b02-c4a81a20c29f,[sulfonyl]urea-compound production,Chemicals nec
286b6f0c-1139-42eb-9337-6f724d81c266,[thio]carbamate-compound production,Chemicals nec
ce082c88-cdd3-4052-8f2a-ae88685b1e89,1-propanol production,Chemicals nec
64200967-24d0-4da3-9a2b-59fc7aa1a4ac,"1,1-difluoroethane production, HFC-152a",Chemicals nec
e5671ea6-20b1-43ed-bd7f-f3b5696c260a,"1,1-dimethylcyclopentane to generic market for solvent, organic",Chemicals nec
c2d58788-238b-464b-89c5-6b075d323033,2-butanol production by hydration of butene,Chemicals nec
9aa82336-98da-433a-846b-3e2bac54c49a,2-methyl-2-butanol production,Chemicals nec
55c8fad3-8aec-4a2b-b83b-8480443b1982,"2-methylpentane to generic market for solvent, organic",Chemicals nec
52646659-9194-4de2-a585-c66b328e93d5,2-nitroaniline production,Chemicals nec
aecb3b72-6dca-41f7-969a-42059dad968b,2-pyridinol production,Chemicals nec
8a353e2b-ddfe-44b1-b55b-a7601545b434,"2,3-dimethylbutan to generic market for solvent, organic",Chemicals nec
0e213f84-5d2f-4810-b521-1eb2b8bbfe88,"2,4-dichlorophenol production",Chemicals nec
43100c0a-0bfb-48d0-b0fb-c16b3c58a3b2,"2,4-dichlorotoluene production",Chemicals nec
4bc9ad24-9446-41da-bdb9-af835ba688df,3-methyl-1-butyl acetate production,Chemicals nec
186449a8-b2f9-49fb-b511-1b48cacf93a5,4-methyl-2-pentanone production,Chemicals nec
92ff9f4d-13c4-4f0d-b729-1ae76eaf822d,4-tert-butylbenzaldehyde production,Chemicals nec
d8b90db2-713f-4765-9b81-28b7d4c10778,4-tert-butyltoluene production,Chemicals nec
b2309bd2-00b5-476b-8303-b3b899a3280b,"absorption chiller production, 100kW",Machinery and equipment n.e.c.
e40735fd-bd80-4a0d-9e84-3e1d1724c27c,acetaldehyde oxidation,Chemicals nec
af4d7894-a22b-4e5d-b7d0-d2850818fa4f,acetaldehyde production,Chemicals nec
f990c094-74b5-446b-8313-c22ea7e2e580,"acetamide-anillide-compound production, unspecified",Chemicals nec
4ab58fda-25f4-49b0-9a19-ed81e70ffa88,acetanilide production,Chemicals nec
67734d6d-e791-4ce7-9959-24597a19b7a7,"acetic acid production, product in 98% solution state",Chemicals nec
537af87b-acb7-46ea-8edb-5e692ecdc2cb,"acetic anhydride production, ketene route",Chemicals nec
f330469d-a80a-4e8c-bba5-45b1290b04fd,acetoacetic acid production,Chemicals nec
a63e321c-c520-4b04-affe-7f1b0f8b65c3,acetone cyanohydrin production,Chemicals nec
d86ced60-39f5-49d2-9a1e-8d2a55c189c7,"acetone production, liquid",Chemicals nec
7e6cc6c8-d2ee-4e7f-911f-b93526994165,acetonitrile to generic market for solvent for chromatography analysis,Chemicals nec
2209a66d-4370-40b2-ab66-5a9ab2bf389e,acetyl chloride production,Chemicals nec
3aa5508f-df62-467c-8a77-6b9459ecba17,acetylene production,Chemicals nec
46b19722-c37a-4f8a-bbc3-26730b55b05f,aclonifen production,Chemicals nec
b20fdd03-75db-49ea-8a3f-20d593da45df,acrolein production,Chemicals nec
a30bf2d1-3837-4bdd-85b8-b0ed65d03524,acrylic acid production,Chemicals nec
ffc05716-a13b-4d62-a9ea-b5ca4a738945,"acrylic binder production, product in 34% solution state",Chemicals nec
01c3280f-b61e-4132-86c7-c1156881cf5e,"acrylic dispersion production, product in 65% solution state",Chemicals nec
fa58cd0c-fa10-4627-b290-33c2f83358a4,acrylic filler production,Chemicals nec
7b6c8d79-1a0d-4401-8878-75c5270090b0,"acrylic varnish production, product in 87.5% solution state",Chemicals nec
33f3564a-a467-4aa2-b110-d44506339f61,acrylonitrile-butadiene-styrene copolymer production,Chemicals nec
23d850c5-7e83-49dd-8356-fbfb8026fb40,activated bentonite production,Sand and clay
