HS 2007,CPA 2008
101.1,01.43.10
101.9,01.43.10
102.1,01.41.10
102.1,01.42.11
102.9,01.41.10
102.9,01.42.11
102.9,01.42.12
103.1,01.46.10
103.91,01.46.10
103.92,01.46.10
104.1,01.45.11
104.2,01.45.12
105.11,01.47.11
105.12,01.47.12
105.19,01.47.13
105.19,01.47.14
105.94,01.47.11
105.99,01.47.12
105.99,01.47.13
105.99,01.47.14
106.11,01.49.19
106.12,03.00.69
106.19,01.49.11
106.19,01.49.19
106.2,01.49.13
106.31,01.49.12
106.32,01.49.12
106.39,01.49.12
106.9,01.49.19
201.1,10.11.11
201.2,10.11.11
201.3,10.11.11
202.1,10.11.31
202.2,10.11.31
202.3,10.11.31
203.11,10.11.12
203.12,10.11.12
203.19,10.11.12
203.21,10.11.32
203.22,10.11.32
203.29,10.11.32
204.1,10.11.13
204.21,10.11.13
204.22,10.11.13
204.23,10.11.13
204.3,10.11.33
204.41,10.11.33
204.42,10.11.33
204.43,10.11.33
204.5,10.11.14
204.5,10.11.34
205,10.11.15
205,10.11.35
206.1,10.11.20
206.21,10.11.39
206.22,10.11.39
206.29,10.11.39
206.3,10.11.20
206.41,10.11.39
206.49,10.11.39
206.8,10.11.20
206.9,10.11.39
207.11,10.12.10
207.12,10.12.20
207.13,10.12.10
207.13,10.12.40
207.14,10.12.20
207.14,10.12.40
207.24,10.12.10
207.25,10.12.20
207.26,10.12.10
207.26,10.12.40
207.27,10.12.20
207.27,10.12.40
207.32,10.12.10
207.33,10.12.20
207.34,10.12.10
207.35,10.12.10
207.35,10.12.40
207.36,10.12.20
207.36,10.12.40
208.1,10.11.39
208.3,10.11.39
208.4,10.11.39
208.5,10.11.39
208.9,10.11.39
209,10.11.50
209,10.12.30
210.11,10.13.11
210.12,10.13.11
210.19,10.13.11
210.2,10.13.12
210.91,10.13.13
210.92,10.13.13
210.93,10.13.13
210.99,10.13.13
301.1,03.00.11
302.7,10.20.12
303.11,10.20.13
303.19,10.20.13
303.21,10.20.13
303.22,10.20.13
303.29,10.20.13
303.31,10.20.13
303.32,10.20.13
303.33,10.20.13
303.39,10.20.13
303.41,10.20.13
303.42,10.20.13
303.43,10.20.13
303.44,10.20.13
303.45,10.20.13
303.46,10.20.13
303.49,10.20.13
303.51,10.20.13
303.52,10.20.13
303.61,10.20.13
303.62,10.20.13
303.71,10.20.13
303.72,10.20.13
303.73,10.20.13
303.74,10.20.13
303.75,10.20.13
303.76,10.20.13
303.77,10.20.13
303.78,10.20.13
303.79,10.20.13
303.8,10.20.16
304.11,10.20.11
304.12,10.20.11
304.19,10.20.11
304.21,10.20.14
304.22,10.20.14
304.29,10.20.14
304.91,10.20.15
304.92,10.20.15
304.99,10.20.15
305.1,10.20.22
305.2,10.20.22
305.3,10.20.21
305.41,10.20.24
305.42,10.20.24
305.49,10.20.24
305.51,10.20.23
305.59,10.20.23
305.61,10.20.23
305.62,10.20.23
305.63,10.20.23
305.69,10.20.23
306.11,10.20.31
306.12,10.20.31
306.13,10.20.31
306.14,10.20.31
306.19,10.20.31
307.29,10.20.32
307.39,10.20.32
307.49,10.20.32
307.59,10.20.32
307.6,01.49.23
307.99,10.20.33
401.1,10.51.11
401.2,10.51.11
401.3,10.51.12
402.1,10.51.21
402.21,10.51.22
402.29,10.51.22
402.91,10.51.51
402.99,10.51.51
403.1,10.51.52
403.9,10.51.52
404.1,10.51.55
404.9,10.51.56
405.1,10.51.30
405.2,10.51.30
405.9,10.51.30
406.1,10.51.40
406.2,10.51.40
406.3,10.51.40
406.4,10.51.40
406.9,10.51.40
407,01.47.21
407,01.47.23
407,01.49.24
408.11,10.89.12
408.19,10.89.12
408.91,10.89.12
408.99,10.89.12
409,01.49.21
410,01.49.24
501,96.02.20
502.1,10.11.60
502.9,10.11.60
504,10.11.60
505.1,10.12.50
505.9,10.12.50
506.1,10.11.60
506.9,10.11.60
507.1,10.11.60
507.9,10.11.60
508,03.00.61
510,10.11.60
511.1,01.42.20
511.91,10.20.42
511.99,10.11.60
601.1,01.30.10
601.2,01.30.10
602.1,01.30.10
602.2,01.30.10
602.3,01.30.10
602.4,01.30.10
602.9,01.30.10
602.9,02.10.11
603.11,01.19.21
603.12,01.19.21
603.13,01.19.21
603.14,01.19.21
603.19,01.19.21
603.9,01.19.21
604.1,02.30.30
604.91,01.29.20
604.91,02.30.30
604.99,02.30.30
701.1,01.13.51
701.9,01.13.51
702,01.13.34
703.1,01.13.43
703.2,01.13.42
703.9,01.13.44
704.1,01.13.13
704.2,01.13.12
704.9,01.13.12
705.11,01.13.14
705.19,01.13.14
705.21,01.13.15
705.29,01.13.15
706.1,01.13.41
706.9,01.13.49
707,01.13.32
708.1,01.11.62
708.2,01.11.61
708.9,01.11.69
709.2,01.13.11
709.3,01.13.33
709.4,01.13.90
709.51,01.13.80
709.59,01.13.80
709.6,01.13.31
709.7,01.13.16
709.9,01.13.17
709.9,01.13.19
709.9,01.13.39
709.9,01.26.11
709.9,01.26.12
709.9,01.28.19
710.1,10.31.11
710.21,10.39.11
710.22,10.39.11
710.29,10.39.11
710.3,10.39.11
710.4,10.39.11
710.8,10.39.11
710.9,10.39.11
711.2,10.39.12
711.4,10.39.12
711.51,10.39.12
711.59,10.39.12
711.9,10.39.12
712.2,10.39.13
712.31,10.39.13
712.32,10.39.13
712.33,10.39.13
712.39,10.39.13
712.9,10.31.12
712.9,10.39.13
713.1,01.11.75
713.2,01.11.73
713.31,01.11.71
713.32,01.11.71
713.33,01.11.71
713.39,01.11.71
713.4,01.11.74
713.5,01.11.72
713.9,01.11.79
714.1,01.13.53
714.2,01.13.52
714.9,01.13.59
801.11,01.26.20
801.19,01.26.20
801.21,01.25.39
801.22,01.25.39
801.31,01.25.39
801.32,01.25.39
802.11,01.25.31
802.12,01.25.31
802.21,01.25.33
802.22,01.25.33
802.31,01.25.35
802.32,01.25.35
802.4,01.25.32
802.5,01.25.34
802.6,01.25.39
802.9,01.25.39
803,01.22.12
803,10.39.25
804.1,01.22.13
804.2,01.22.14
804.2,10.39.25
804.3,01.22.19
804.4,01.22.11
804.5,01.22.19
805.1,01.23.13
805.2,01.23.14
805.4,01.23.11
805.5,01.23.12
805.9,01.23.19
806.1,01.21.11
806.1,01.21.12
806.2,10.39.25
807.11,01.13.21
807.19,01.13.29
807.2,01.22.19
808.1,01.24.10
808.2,01.24.21
808.2,01.24.22
809.1,01.24.23
809.2,01.24.24
809.3,01.24.25
809.3,01.24.26
809.4,01.24.27
809.4,01.24.28
810.1,01.25.13
810.2,01.25.12
810.4,01.25.19
810.5,01.25.11
810.6,01.22.19
810.9,01.24.29
810.9,01.25.19
810.9,01.25.90
811.1,10.39.21
811.2,10.39.21
811.9,10.39.21
812.1,10.39.24
812.9,10.39.24
813.1,10.39.25
813.2,10.39.25
813.3,10.39.25
813.4,10.39.25
813.5,10.39.25
814,10.39.24
901.11,01.27.11
901.12,10.83.11
901.21,10.83.11
901.22,10.83.11
901.9,10.83.12
902.1,10.83.13
902.2,01.27.12
902.3,10.83.13
902.4,01.27.12
903,01.27.13
904.11,01.28.11
904.12,10.84.21
904.2,01.28.12
904.2,10.84.22
905,01.28.18
906.11,01.28.15
906.19,01.28.15
906.2,10.84.23
907,01.28.16
908.1,01.28.13
908.2,01.28.13
908.3,01.28.13
909.1,01.28.14
909.2,01.28.14
909.3,01.28.14
909.4,01.28.14
909.5,01.28.14
910.1,01.28.17
910.2,01.28.19
910.2,10.84.23
910.3,01.28.19
910.91,01.28.19
910.91,10.84.23
910.99,01.28.19
910.99,10.84.23
1001.1,01.11.11
1001.9,01.11.12
1002,01.11.32
1003,01.11.31
1004,01.11.33
1005.1,01.11.20
1005.9,01.11.20
1006.1,01.12.10
1006.2,10.61.11
1006.3,10.61.12
1006.4,10.61.12
1007,01.11.41
1008.1,01.11.49
1008.2,01.11.42
1008.3,01.11.49
1008.9,01.11.49
1101,10.61.21
1102.1,10.61.22
1102.2,10.61.22
1102.9,10.61.22
1103.11,10.61.31
1103.13,10.61.32
1103.19,10.61.32
1103.2,10.61.32
1104.12,10.61.33
1104.19,10.61.33
1104.22,10.61.33
1104.23,10.61.33
1104.29,10.61.33
1104.3,10.61.33
1105.1,10.31.13
1105.2,10.31.13
1106.1,10.61.23
1106.2,10.61.23
1106.3,10.61.23
1107.1,11.06.10
1107.2,11.06.10
1108.11,10.62.11
1108.12,10.62.11
1108.13,10.62.11
1108.14,10.62.11
1108.19,10.62.11
1108.2,10.62.11
1109,10.62.11
1201,01.11.81
1202.1,01.11.82
1202.2,01.11.83
1203,01.26.90
1204,01.11.91
1205.1,01.11.93
1205.9,01.11.93
1206,01.11.95
1207.2,01.11.84
1207.4,01.11.94
1207.5,01.11.92
1207.91,01.11.99
1207.99,01.11.99
1208.1,10.41.42
1208.9,10.41.42
1209.1,01.13.72
1209.21,01.19.31
1209.22,01.19.31
1209.23,01.19.31
1209.24,01.19.31
1209.25,01.19.31
1209.29,01.19.31
1209.3,01.19.22
1209.91,01.13.60
1209.99,01.25.20
1209.99,02.10.12
1210.1,01.28.20
1210.2,01.28.20
1211.2,01.28.30
1211.3,01.28.30
1211.4,01.28.30
1211.9,01.28.30
1212.91,01.13.71
1212.99,01.14.10
1212.99,01.19.39
1212.99,01.25.20
1212.99,01.25.90
1213,01.11.50
1214.1,10.91.20
1214.9,01.19.10
1301.2,02.30.12
1301.9,02.30.12
1302.11,10.89.15
1302.12,10.89.15
1302.13,10.89.15
1302.19,10.89.15
1302.2,10.89.15
1302.31,10.89.15
1302.32,10.89.15
1302.39,10.89.15
1401.1,01.29.30
1401.2,01.29.30
1401.9,01.29.30
1404.2,10.41.30
1404.9,01.29.30
1501,10.11.50
1501,10.12.30
1502,10.11.50
1503,10.41.11
1504.1,10.41.12
1504.2,10.41.12
1504.3,10.41.12
1505,13.10.10
1506,10.41.19
1507.1,10.41.21
1507.9,10.41.51
1508.1,10.41.22
1508.9,10.41.52
1509.1,10.41.23
1509.9,10.41.53
1510,10.41.23
1510,10.41.53
1511.1,10.41.27
1511.9,10.41.57
1512.11,10.41.24
1512.19,10.41.54
1512.21,10.41.25
1512.29,10.41.55
1513.11,10.41.28
1513.19,10.41.58
1513.21,10.41.29
1513.29,10.41.59
1514.11,10.41.26
1514.19,10.41.56
1514.91,10.41.26
1514.99,10.41.56
1515.11,10.41.29
1515.19,10.41.59
1515.21,10.62.14
1515.29,10.62.14
1515.3,10.41.59
1515.5,10.41.29
1515.5,10.41.59
1515.9,10.41.29
1515.9,10.41.59
1516.1,10.41.60
1516.2,10.41.60
1517.1,10.42.10
1517.9,10.42.10
1518,20.59.20
1520,20.41.10
1521.1,10.41.71
1521.9,01.49.26
1522,10.41.72
1601,10.13.14
1602.1,10.86.10
1602.2,10.13.15
1602.31,10.13.15
1602.32,10.13.15
1602.39,10.13.15
1602.41,10.13.15
1602.42,10.13.15
1602.49,10.13.15
1602.5,10.13.15
1602.9,10.13.15
1603,10.89.14
1604.11,10.20.25
1604.12,10.20.25
1604.13,10.20.25
1604.14,10.20.25
1604.15,10.20.25
1604.16,10.20.25
1604.19,10.20.25
1604.2,10.20.25
1604.3,10.20.26
1605.1,10.20.34
1605.2,10.20.34
1605.3,10.20.34
1605.4,10.20.34
1605.9,10.20.34
1701.11,10.81.11
1701.12,10.81.11
1701.91,10.81.13
1701.99,10.81.12
1702.11,10.51.54
1702.19,10.51.54
1702.2,10.81.13
1702.3,10.62.13
1702.4,10.62.13
1702.5,10.62.13
1702.6,10.62.13
1702.9,10.62.13
1702.9,10.89.19
1703.1,10.81.14
1703.9,10.81.14
1704.1,10.82.23
1704.9,10.82.23
1801,01.27.14
1802,10.82.30
1803.1,10.82.11
1803.2,10.82.11
1804,10.82.12
1805,10.82.13
1806.1,10.82.14
1806.2,10.82.21
1806.31,10.82.22
1806.32,10.82.22
1806.9,10.82.22
1901.1,10.86.10
1901.2,10.61.24
1901.9,10.89.19
1902.11,10.73.11
1902.19,10.73.11
1902.2,10.85.14
1902.3,10.85.14
1902.4,10.73.12
1903,10.62.12
1904.1,10.61.33
1904.2,10.61.33
1904.3,10.61.33
1904.9,10.61.33
1905.1,10.72.11
1905.2,10.72.12
1905.31,10.72.12
1905.32,10.72.12
1905.4,10.72.11
1905.9,10.71.11
1905.9,10.71.12
1905.9,10.72.19
2001.1,10.39.18
2001.9,10.39.18
2002.1,10.39.17
2002.9,10.39.17
2003.1,10.39.17
2003.2,10.39.17
2003.9,10.39.17
2004.1,10.31.11
2004.9,10.39.17
2005.1,10.86.10
2005.2,10.31.14
2005.4,10.39.16
2005.51,10.39.15
2005.59,10.39.15
2005.6,10.39.17
2005.7,10.39.17
2005.8,10.39.17
2005.91,10.39.17
2005.99,10.39.17
2006,10.82.24
2007.1,10.86.10
2007.91,10.39.22
2007.99,10.39.22
2008.11,10.39.23
2008.19,10.39.23
2008.2,10.39.25
2008.3,10.39.25
2008.4,10.39.25
2008.5,10.39.25
2008.6,10.39.25
2008.7,10.39.25
2008.8,10.39.25
2008.91,10.39.25
2008.92,10.39.25
2008.99,10.39.25
2009.11,10.32.12
2009.12,10.32.12
2009.19,10.32.12
2009.21,10.32.13
2009.29,10.32.13
2009.31,10.32.19
2009.39,10.32.19
2009.41,10.32.14
2009.49,10.32.14
2009.5,10.32.11
2009.61,10.32.15
2009.69,10.32.15
2009.71,10.32.16
2009.79,10.32.16
2009.8,10.32.19
2009.9,10.32.17
2101.11,10.83.12
2101.12,10.83.12
2101.2,10.83.14
2101.3,10.83.12
2102.1,10.89.13
2102.2,10.89.13
2102.3,10.89.13
2103.1,10.84.12
2103.2,10.84.12
2103.3,10.84.12
2103.9,10.84.12
2104.1,10.89.11
2104.2,10.86.10
2105,10.52.10
2106.1,10.89.19
2106.9,10.85.19
2106.9,10.89.19
2201.1,11.07.11
2201.9,11.07.11
2202.1,11.07.19
2202.9,11.07.19
2203,11.05.10
2204.1,11.02.11
2204.21,11.02.12
2204.29,11.02.12
2204.3,11.02.12
2205.1,11.04.10
2205.9,11.04.10
2206,11.03.10
2207.1,20.14.74
2207.2,20.14.75
2208.2,11.01.10
2208.3,11.01.10
2208.4,11.01.10
2208.5,11.01.10
2208.6,11.01.10
2208.7,11.01.10
2208.9,11.01.10
2209,10.84.11
2301.1,10.13.16
2301.2,10.20.41
2302.1,10.61.40
2302.3,10.61.40
2302.4,10.61.40
2302.5,10.61.40
2303.1,10.62.20
2303.2,10.81.20
2303.3,11.05.20
2304,10.41.41
2305,10.41.41
2306.1,10.41.41
2306.2,10.41.41
2306.3,10.41.41
2306.41,10.41.41
2306.49,10.41.41
2306.5,10.41.41
2306.6,10.41.41
2306.9,10.41.41
2307,11.02.20
2308,10.39.30
2309.1,10.92.10
2309.9,10.91.10
2401.1,01.15.10
2401.2,01.15.10
2401.3,12.00.20
2402.1,12.00.11
2402.2,12.00.11
2402.9,12.00.11
2403.1,12.00.19
2403.91,12.00.19
2403.99,12.00.19
2501,08.93.10
2501,10.84.30
2502,08.91.12
2503,08.91.12
2503,20.13.66
2504.1,08.99.29
2504.9,08.99.29
2505.1,08.12.11
2505.9,08.12.11
2506.1,08.99.29
2506.2,08.11.12
2507,08.12.21
2508.1,08.12.22
2508.3,08.12.22
2508.4,08.12.22
2508.5,08.12.22
2508.6,08.12.22
2508.7,08.12.22
2509,08.11.30
2510.1,08.91.11
2510.2,08.91.11
2511.1,08.91.19
2511.2,08.91.19
2512,08.99.29
2513.1,08.99.22
2513.2,08.99.22
2514,08.11.40
2515.11,08.11.11
2515.12,08.11.11
2515.2,08.11.11
2516.11,08.11.12
2516.12,08.11.12
2516.2,08.11.12
2516.9,08.11.12
2517.1,08.12.12
2517.2,08.12.13
2517.3,23.99.13
2517.41,08.12.12
2517.49,08.12.12
2518.1,08.11.30
2518.2,23.52.30
2518.3,23.52.30
2519.1,08.99.29
2519.9,08.99.29
2520.1,08.11.20
2520.2,23.52.20
2521,08.11.20
2522.1,23.52.10
2522.2,23.52.10
2522.3,23.52.10
2523.1,23.51.11
2523.21,23.51.12
2523.29,23.51.12
2523.3,23.51.12
2523.9,23.51.12
2524.1,08.99.29
2524.9,08.99.29
2525.1,08.99.29
2525.2,08.99.29
2525.3,08.99.29
2526.1,08.99.29
2526.2,08.99.29
2528.1,08.91.19
2528.9,08.91.19
2529.1,08.99.29
