LC-IMPACT_Name,Formula,Radiative Forcing 100(W m-2 yr kg-1),Temperature increase (C/kg),US_EPA_Name
Carbon dioxide,CO2,9.17E-14,4.76E-14,Carbon dioxide
Methane,CH4,2.61E-12,2.61E-12,Methane
Fossil methane,CH4,2.73E-12,2.68E-12,Methane
Nitrous oxide,N2O,2.43E-11,2.43E-11,Nitrous oxide
CFC-11,CCl3F,4.28E-10,4.28E-10,CFC-11
CFC-12,CCl2F2,9.39E-10,9.39E-10,CFC-12
CFC-13,CClF3,1.27E-09,1.27E-09,CFC-13
CFC-113,CCl2FCClF2,5.34E-10,5.34E-10,CFC-113
CFC-114,CClF2CClF2,7.88E-10,7.87E-10,CFC-114
CFC-115,CClF2CF3,7.03E-10,7.03E-10,CFC-115
HCFC-21,CHCl2F,1.35E-11,1.35E-11,HCFC-21
HCFC-22,CHClF2,1.62E-10,1.62E-10,HCFC-22
HCFC-122,CHCl2CF2Cl,5.43E-12,5.43E-12,HCFC-122
HCFC-122a,CHFClCFCl2,2.37E-11,2.37E-11,-
HCFC-123,CHCl2CF3,7.28E-12,7.28E-12,HCFC-123
HCFC-123a,CHClFCF2Cl,3.39E-11,3.39E-11,HCFC-123a
HCFC-124,CHClFCF3,4.83E-11,4.83E-11,HCFC-124
HCFC-132c,CH2FCFCl2,3.10E-11,3.10E-11,-
HCFC-141b,CH3CCl2F,7.17E-11,7.17E-11,HCFC-141b
HCFC-142b,CH3CClF2,1.82E-10,1.82E-10,HCFC-142b
HCFC-225ca,CHCl2CF2CF3,1.17E-11,1.17E-11,HCFC-225ca
HCFC-225cb,CHClFCF2CClF2,4.81E-11,4.81E-11,HCFC-225cb
"(E)-1-Chloro-3,3,3-trifluoroprop-1-ene",trans-CF3CH=CHCl,1.37E-13,1.37E-13,-
HFC-23,CHF3,1.14E-09,1.14E-09,HFC-23
HFC-32,CH2F2,6.21E-11,6.21E-11,HFC-32
HFC-41,CH3F,1.07E-11,1.07E-11,HFC-41
HFC-125,CHF2CF3,2.91E-10,2.91E-10,HFC-125
HFC-134,CHF2CHF2,1.02E-10,1.02E-10,HFC-134
HFC-134a,CH2FCF3,1.19E-10,1.19E-10,HFC-134a
HFC-143,CH2FCHF2,3.01E-11,3.01E-11,HFC-143
HFC-143a,CH3CF3,4.41E-10,4.41E-10,HFC-143a
HFC-152,CH2FCH2F,1.51E-12,1.51E-12,HFC-152
HFC-152a,CH3CHF2,1.26E-11,1.26E-11,HFC-152a
HFC-161,CH3CH2F,3.33E-13,3.33E-13,HFC-161
HFC-227ca,CF3CF2CHF2,2.42E-10,2.42E-10,-
HFC-227ea,CF3CHFCF3,3.07E-10,3.07E-10,HFC-227ea
HFC-236cb,CH2FCF2CF3,1.11E-10,1.11E-10,HFC-236cb
HFC-236ea,CHF2CHFCF3,1.22E-10,1.22E-10,HFC-236ea
HFC-236fa,CF3CH2CF3,7.39E-10,7.39E-10,HFC-236fa
HFC-245ca,CH2FCF2CHF2,6.56E-11,6.56E-11,HFC-245ca
HFC-245cb,CF3CF2CH3,4.24E-10,4.24E-10,-
HFC-245ea,CHF2CHFCHF2,2.16E-11,2.16E-11,-
HFC-245eb,CH2FCHFCF3,2.66E-11,2.66E-11,-
