BEC,"SITC, R3"
111,1.19
111,1.21
111,1.22
111,1.39
111,1.41
111,1.49
111,1.51
111,1.52
111,1.9
111,25.3
111,41.1
111,41.2
111,42.1
111,42.2
111,43
111,45.1
111,45.3
111,45.91
111,45.92
111,45.93
111,45.99
111,54.84
111,54.85
111,54.87
111,54.88
111,54.89
111,57.71
111,58.21
111,58.22
111,71.11
111,71.12
111,71.13
111,72.1
111,222.11
111,222.12
111,222.2
111,222.3
111,222.4
111,222.5
111,222.61
111,222.62
111,222.7
111,223.1
111,223.2
112,22.11
112,22.12
112,22.13
112,22.31
112,22.32
112,25.1
112,34.11
112,34.12
112,34.13
112,34.14
112,34.15
112,34.16
112,34.17
112,34.18
112,35.11
112,35.13
112,35.21
112,35.22
112,35.29
112,36.11
112,36.19
112,36.2
112,36.31
112,36.33
112,36.35
112,36.37
112,36.39
112,54.1
112,54.21
112,54.22
112,54.23
112,54.24
112,54.25
112,54.29
112,54.4
112,54.51
112,54.52
112,54.53
112,54.54
112,54.55
112,54.56
112,54.57
112,54.58
112,54.59
112,54.61
112,54.69
112,54.81
112,54.83
112,57.11
112,57.12
112,57.21
112,57.22
112,57.29
112,57.3
112,57.4
112,57.51
112,57.52
112,57.6
112,57.72
112,57.73
112,57.74
112,57.75
112,57.76
112,57.77
112,57.78
112,57.79
112,57.91
112,57.92
112,57.93
112,57.94
112,57.95
112,57.96
112,57.97
112,57.98
112,57.99
112,58.31
112,58.32
112,58.39
112,61.6
112,74.11
112,74.12
112,74.13
112,74.14
112,74.31
112,75.11
112,75.12
112,75.13
112,75.21
112,75.22
112,75.23
112,75.24
112,75.25
112,75.26
112,75.27
112,75.28
112,75.29
121,12.4
121,17.1
121,22.21
121,22.41
121,22.49
121,25.21
121,25.22
121,35.5
121,46.1
121,46.2
121,47.11
121,47.19
121,47.21
121,47.22
121,47.29
121,48.2
121,56.41
121,56.42
121,56.45
121,56.46
121,56.47
121,56.48
121,61.11
121,61.12
121,61.21
121,61.51
121,61.59
121,61.91
121,61.93
121,61.94
121,61.95
121,61.96
121,61.99
121,72.2
121,72.31
121,72.32
121,72.4
