SITC Rev 4,,CN2017
001.50,ex,0101 21 00
001.50,ex,0101 29 10
001.50,ex,0101 29 90
001.50,ex,0101 30 00
001.50,ex,0101 90 00
001.11,ex,0102 21 10
001.11,ex,0102 21 30
001.11,ex,0102 21 90
001.19,ex,0102 29 05
001.19,ex,0102 29 10
001.19,ex,0102 29 21
001.19,ex,0102 29 29
001.19,ex,0102 29 41
001.19,ex,0102 29 49
001.19,ex,0102 29 51
001.19,ex,0102 29 59
001.19,ex,0102 29 61
001.19,ex,0102 29 69
001.19,ex,0102 29 91
001.19,ex,0102 29 99
001.11,ex,0102 31 00
001.19,ex,0102 39 10
001.19,ex,0102 39 90
001.11,ex,0102 90 20
001.19,ex,0102 90 91
001.19,ex,0102 90 99
001.31,-,0103 10 00
001.39,ex,0103 91 10
001.39,ex,0103 91 90
001.39,ex,0103 92 11
001.39,ex,0103 92 19
001.39,ex,0103 92 90
001.21,ex,0104 10 10
001.21,ex,0104 10 30
001.21,ex,0104 10 80
001.22,ex,0104 20 10
001.22,ex,0104 20 90
001.41,ex,0105 11 11
001.41,ex,0105 11 19
001.41,ex,0105 11 91
001.41,ex,0105 11 99
001.41,ex,0105 12 00
001.41,ex,0105 13 00
001.41,ex,0105 14 00
001.41,ex,0105 15 00
001.49,ex,0105 94 00
001.49,ex,0105 99 10
001.49,ex,0105 99 20
001.49,ex,0105 99 30
001.49,ex,0105 99 50
001.90,ex,0106 11 00
001.90,ex,0106 12 00
001.90,ex,0106 13 00
001.90,ex,0106 14 10
001.90,ex,0106 14 90
001.90,ex,0106 19 00
001.90,ex,0106 20 00
001.90,ex,0106 31 00
001.90,ex,0106 32 00
001.90,ex,0106 33 00
001.90,ex,0106 39 10
001.90,ex,0106 39 80
001.90,ex,0106 41 00
001.90,ex,0106 49 00
001.90,ex,0106 90 00
011.11,ex,0201 10 00
011.11,ex,0201 20 20
011.11,ex,0201 20 30
011.11,ex,0201 20 50
011.11,ex,0201 20 90
011.12,-,0201 30 00
011.21,ex,0202 10 00
011.21,ex,0202 20 10
011.21,ex,0202 20 30
011.21,ex,0202 20 50
011.21,ex,0202 20 90
011.22,ex,0202 30 10
011.22,ex,0202 30 50
011.22,ex,0202 30 90
012.21,ex,0203 11 10
012.21,ex,0203 11 90
012.21,ex,0203 12 11
012.21,ex,0203 12 19
012.21,ex,0203 12 90
012.21,ex,0203 19 11
012.21,ex,0203 19 13
012.21,ex,0203 19 15
012.21,ex,0203 19 55
012.21,ex,0203 19 59
012.21,ex,0203 19 90
012.22,ex,0203 21 10
012.22,ex,0203 21 90
012.22,ex,0203 22 11
012.22,ex,0203 22 19
012.22,ex,0203 22 90
012.22,ex,0203 29 11
012.22,ex,0203 29 13
012.22,ex,0203 29 15
012.22,ex,0203 29 55
012.22,ex,0203 29 59
012.22,ex,0203 29 90
012.11,ex,0204 10 00
012.11,ex,0204 21 00
012.11,ex,0204 22 10
012.11,ex,0204 22 30
012.11,ex,0204 22 50
012.11,ex,0204 22 90
012.11,ex,0204 23 00
012.12,ex,0204 30 00
012.12,ex,0204 41 00
012.12,ex,0204 42 10
012.12,ex,0204 42 30
