index,country_code,timezone
0,AL,Europe/Tirane
1,AT,Europe/Vienna
2,BA,Europe/Sarajevo
3,BE,Europe/Brussels
4,BG,Europe/Sofia
5,BY,Europe/Minsk
6,CH,Europe/Zurich
7,CZ,Europe/Prague
8,DE,Europe/Berlin
9,DK,Europe/Copenhagen
10,EE,Europe/Tallinn
11,ES,Europe/Madrid
12,FI,Europe/Helsinki
13,FR,Europe/Paris
14,GB,Europe/London
15,GB-NIR,Europe/Belfast
16,GR,Europe/Athens
17,HR,Europe/Zagreb
18,HU,Europe/Budapest
19,IE,Europe/Dublin
20,IT,Europe/Rome
21,LT,Europe/Vilnius
22,LU,Europe/Luxembourg
23,LV,Europe/Riga
24,ME,Europe/Podgorica
25,MK,Europe/Skopje
26,MT,Europe/Malta
27,NL,Europe/Amsterdam
28,NO,Europe/Oslo
29,PL,Europe/Warsaw
30,PT,Europe/Lisbon
31,RO,Europe/Bucharest
32,RS,Europe/Belgrade
33,RU,Europe/Moscow
34,RU-KGD,Europe/Kaliningrad
35,SE,Europe/Stockholm
36,SI,Europe/Ljubljana
37,SK,Europe/Bratislava
38,TR,Europe/Istanbul
39,UA,Europe/Kiev
40,IT-NORD,Europe/Rome
41,IT-CNOR,Europe/Rome
42,IT-CSUD,Europe/Rome
43,IT-SUD,Europe/Rome
44,IT-FOGN,Europe/Rome
45,IT-ROSN,Europe/Rome
46,IT-BRNN,Europe/Rome
47,IT-PRGP,Europe/Rome
48,IT-SARD,Europe/Rome
49,IT-SICI,Europe/Rome
50,DE-AT-LU,Europe/Berlin
51,NO-1,Europe/Oslo
52,NO-2,Europe/Oslo
53,NO-3,Europe/Oslo
54,NO-4,Europe/Oslo
55,NO-5,Europe/Oslo
56,SE-1,Europe/Stockholm
57,SE-2,Europe/Stockholm
58,SE-3,Europe/Stockholm
59,SE-4,Europe/Stockholm
60,DK-1,Europe/Copenhagen
61,DK-2,Europe/Copenhagen
