Product name,Product code 1,product code 2,unit
Paddy rice,p01.a,C_PARI,tonnes
Wheat,p01.b,C_WHEA,tonnes
Cereal grains nec,p01.c,C_OCER,tonnes
Vegetables; fruit; nuts,p01.d,C_FVEG,tonnes
Oil seeds,p01.e,C_OILS,tonnes
Sugar cane; sugar beet,p01.f,C_SUGB,tonnes
Plant-based fibers,p01.g,C_FIBR,tonnes
Crops nec,p01.h,C_OTCR,tonnes
Cattle,p01.i,C_CATL,tonnes
Pigs,p01.j,C_PIGS,tonnes
Poultry,p01.k,C_PLTR,tonnes
Meat animals nec,p01.l,C_OMEA,tonnes
Animal products nec,p01.m,C_OANP,tonnes
Raw milk,p01.n,C_MILK,tonnes
Wool; silk-worm cocoons,p01.o,C_WOOL,tonnes
Manure (conventional treatment),p01.w.1,C_MANC,tonnes
Manure (biogas treatment),p01.w.2,C_MANB,tonnes
Products of forestry; logging and related services (02),p02,C_FORE,tonnes
Fish and other fishing products; services incidental of fishing (05),p05,C_FISH,tonnes
Anthracite,p10.a,C_ANTH,tonnes
Coking Coal,p10.b,C_COKC,tonnes
Other Bituminous Coal,p10.c,C_OTBC,tonnes
Sub-Bituminous Coal,p10.d,C_SUBC,tonnes
Patent Fuel,p10.e,C_PATF,tonnes
Lignite/Brown Coal,p10.f,C_LIBC,tonnes
BKB/Peat Briquettes,p10.g,C_BKBP,tonnes
Peat,p10.h,C_PEAT,tonnes
Crude petroleum and services related to crude oil extraction; excluding surveying,p11.a,C_COIL,tonnes
Natural gas and services related to natural gas extraction; excluding surveying,p11.b,C_GASE,tonnes
Natural Gas Liquids,p11.b.1,C_GASL,tonnes
Other Hydrocarbons,p11.c,C_OGPL,tonnes
Uranium and thorium ores (12),p12,C_ORAN,tonnes
Iron ores,p13.1,C_IRON,tonnes
Copper ores and concentrates,p13.20.11,C_COPO,tonnes
Nickel ores and concentrates,p13.20.12,C_NIKO,tonnes
Aluminium ores and concentrates,p13.20.13,C_ALUO,tonnes
Precious metal ores and concentrates,p13.20.14,C_PREO,tonnes
Lead; zinc and tin ores and concentrates,p13.20.15,C_LZTO,tonnes
Other non-ferrous metal ores and concentrates,p13.20.16,C_ONFO,tonnes
Stone,p14.1,C_STON,tonnes
Sand and clay,p14.2,C_SDCL,tonnes
Chemical and fertilizer minerals; salt and other mining and quarrying products n.e.c.,p14.3,C_CHMF,tonnes
Products of meat cattle,p15.a,C_PCAT,tonnes
Products of meat pigs,p15.b,C_PPIG,tonnes
Products of meat poultry,p15.c,C_PPLT,tonnes
Meat products nec,p15.d,C_POME,tonnes
products of Vegetable oils and fats,p15.e,C_VOIL,tonnes
Dairy products,p15.f,C_DAIR,tonnes
Processed rice,p15.g,C_RICE,tonnes
Sugar,p15.h,C_SUGR,tonnes
Food products nec,p15.i,C_OFOD,tonnes
Beverages,p15.j,C_BEVR,tonnes
Fish products,p15.k,C_FSHP,tonnes
Tobacco products (16),p16,C_TOBC,tonnes
Textiles (17),p17,C_TEXT,tonnes
Wearing apparel; furs (18),p18,C_GARM,tonnes
Leather and leather products (19),p19,C_LETH,tonnes
Wood and products of wood and cork (except furniture); articles of straw and plaiting materials (20),p20,C_WOOD,tonnes
Wood material for treatment; Re-processing of secondary wood material into new wood material,p20.w,C_WOOW,tonnes
Pulp,p21.1,C_PULP,tonnes
Secondary paper for treatment; Re-processing of secondary paper into new pulp,p21.w.1,C_PAPR,tonnes
Paper and paper products,p21.2,C_PAPE,tonnes
Printed matter and recorded media (22),p22,C_MDIA,tonnes
Coke Oven Coke,p23.1.a,C_COKE,tonnes
Gas Coke,p23.1.b,C_GCOK,tonnes
Coal Tar,p23.1.c,C_COTA,tonnes
Motor Gasoline,p23.20.a,C_MGSL,tonnes
Aviation Gasoline,p23.20.b,C_AGSL,tonnes
Gasoline Type Jet Fuel,p23.20.c,C_GJET,tonnes
Kerosene Type Jet Fuel,p23.20.d,C_KJET,tonnes
Kerosene,p23.20.e,C_KERO,tonnes
Gas/Diesel Oil,p23.20.f,C_DOIL,tonnes
Heavy Fuel Oil,p23.20.g,C_FOIL,tonnes
Refinery Gas,p23.20.h,C_RGAS,tonnes
Liquefied Petroleum Gases (LPG),p23.20.i,C_LPGA,tonnes
Refinery Feedstocks,p23.20.j,C_REFF,tonnes
Ethane,p23.20.k,C_ETHA,tonnes
Naphtha,p23.20.l,C_NAPT,tonnes
